     K07R01J* C2007 09 03.29425 22 03 06.22 +16 09 32.9          21.0 Vrv4556G96
     K07R01J  C2007 09 13.92177 23 18 49.214+16 09 13.81         17.4 Vrv5218A81
     K07R01J  C2007 09 13.93094 23 19 05.669+16 08 56.60         17.3 Vrv5218A81
     K07R01J  C2007 09 13.95444 23 19 48.75 +16 07 40.9          17.4 Rcv5218A53
     K07R01J  C2007 09 13.95612 23 19 51.81 +16 07 37.4          17.4 Rcv5218A53
     K07R01J  C2007 09 13.95903 23 19 57.18 +16 07 31.1          17.4 Rcv5218A53
     K07R01J  C2007 09 13.96338 23 20 05.25 +16 07 22.7          17.4 Rcv5218A53
     K07R01J  C2007 09 14.84673 00 01 05.77 +15 08 52.1          16.6 Vcv6314A48
     K07R01J  C2007 09 14.84741 00 01 08.28 +15 08 48.2          16.5 Vcv6314A48
     K07R01J  C2007 09 14.84810 00 01 10.75 +15 08 43.9          16.6 Vcv6314A48
     K07R01J  C2007 09 14.84879 00 01 13.19 +15 08 39.7          16.5 Vcv6314A48
     K07R01J  C2007 09 14.93511 00 06 33.46 +14 59 06.1          16.2 Rcv6314560
     K07R01J  C2007 09 14.93673 00 06 39.62 +14 58 54.0          16.2 Rcv6314560
     K07R01J  C2007 09 14.93716 00 06 41.28 +14 58 51.3          16.2 Rcv6314560
     K07R01J  C2007 09 15.30900 00 35 43.25 +14 00 07.4          16.7 Rrv6314448
     K07R01J  C2007 09 15.30937 00 35 45.25 +14 00 02.2          16.2 Rrv6314448
     K07R01J  C2007 09 15.30972 00 35 47.02 +13 59 58.4          16.0 Rrv6314448
     K07R01J  C2007 09 15.91604201 47 40.83 +10 25 40.5          16.5 Rrv6314J95
     K07R01J  C2007 09 15.91690601 47 48.35 +10 25 14.7          16.3 Rrv6314J95
     K07R01J  C2007 09 15.91776501 47 55.86 +10 24 49.1          16.2 Rrv6314J95
     K07R01J  C2007 09 16.09366202 14 49.80 +08 46 35.2          16.4 Rrv6314J95
     K07R01J  C2007 09 16.09428002 14 55.74 +08 46 12.2          16.5 Rrv6314J95
     K07R01J  C2007 09 16.09490702 15 01.79 +08 45 48.7          16.4 Rrv6314J95
