f4287K08O09B* C2008 07 29.34054 21 06 47.98 +04 56 16.9          20.7 Vrz3154G96
f4287K08O09B  C2014 08 22.40100 00 55 39.02 +26 18 03.5          18.7 Rq~17TjH45
f4287K08O09B  C2014 08 22.40214 00 55 39.27 +26 18 05.0          18.6 Rq~17TjH45
f4287K08O09B  C2014 08 22.40416 00 55 39.58 +26 18 07.6          18.6 Rq~17TjH45
f4287K08O09B  C2014 08 24.40214 01 01 07.55 +26 59 11.3          18.5 Rq~17kxH45
f4287K08O09B  C2014 08 24.40349 01 01 07.80 +26 59 12.7          18.7 Rq~17kxH45
f4287K08O09B  C2014 08 24.40490 01 01 08.03 +26 59 14.3          18.7 Rq~17kxH45
f4287K08O09B  C2014 08 24.40587 01 01 08.22 +26 59 15.6          18.5 Rq~17kxH45
f4287K08O09B  C2014 08 24.40719 01 01 08.41 +26 59 17.3          18.8 Rq~17kxH45
f4287K08O09B  C2014 08 24.40858 01 01 08.63 +26 59 19.1          18.5 Rq~17kxH45
f4287K08O09B  C2014 08 24.40995 01 01 08.87 +26 59 20.8          18.7 Rq~17kxH45
f4287K08O09B  C2014 08 24.41115 01 01 09.05 +26 59 22.4          18.6 Rq~17kxH45
f4287K08O09B KC2014 08 25.09249 01 03 06.86 +27 13 36.4          18.4 Rq~17kx160
f4287K08O09B KC2014 08 25.09454 01 03 07.21 +27 13 39.0          18.4 Rq~17kx160
f4287K08O09B KC2014 08 25.09660 01 03 07.56 +27 13 41.6          18.4 Rq~17kx160
f4287K08O09B KC2014 08 28.99468 01 15 27.77 +28 38 06.2          18.2 Rq~17kx160
f4287K08O09B KC2014 08 28.99672 01 15 28.19 +28 38 08.7          18.1 Rq~17kx160
f4287K08O09B KC2014 08 28.99876 01 15 28.59 +28 38 10.7          18.0 Rq~17kx160
f4287K08O09B KC2014 08 30.05125 01 19 10.68 +29 01 49.5          18.1 Rq~195P160
f4287K08O09B KC2014 08 30.05334 01 19 11.11 +29 01 52.3          18.1 Rq~195P160
f4287K08O09B KC2014 08 30.05544 01 19 11.56 +29 01 55.3          18.3 Rq~195P160
f4287K08O09B KC2014 08 30.90803 01 22 20.63 +29 21 14.4          17.9  q~18Bo151
f4287K08O09B KC2014 08 30.90991 01 22 21.01 +29 21 17.3          18.2  q~18Bo151
f4287K08O09B KC2014 08 30.91261 01 22 21.67 +29 21 21.3          18.2  q~18Bo151
f4287K08O09B  C2014 09 01.38844 01 28 06.15 +29 55 34.6          18.0 Rq~18BoH45
f4287K08O09B  C2014 09 01.38979 01 28 06.49 +29 55 36.6          18.1 Rq~18BoH45
f4287K08O09B  C2014 09 01.39108 01 28 06.79 +29 55 38.3          18.0 Rq~18BoH45
f4287K08O09B  C2014 09 01.39340 01 28 07.33 +29 55 41.8          18.2 Rq~18BoH45
f4287K08O09B  C2014 09 01.39446 01 28 07.58 +29 55 42.9          18.0 Rq~18BoH45
f4287K08O09B  C2014 09 01.39539 01 28 07.80 +29 55 44.5          18.0 Rq~18BoH45
f4287K08O09B KC2014 09 02.05584 01 30 51.38 +30 11 10.8          17.5 Rq~18Bo160
f4287K08O09B KC2014 09 02.05791 01 30 51.90 +30 11 13.6          18.1 Rq~18Bo160
f4287K08O09B KC2014 09 02.05998 01 30 52.36 +30 11 16.3          18.3 Rq~18Bo160
f4287K08O09B KC2014 09 02.08611 01 30 58.82 +30 11 52.7                t~195P204
f4287K08O09B KC2014 09 02.09098 01 31 00.01 +30 11 59.7                t~195P204
f4287K08O09B KC2014 09 02.09597 01 31 01.24 +30 12 06.6          17.7 Rt~195P204
f4287K08O09B  C2014 09 05.38344 01 46 08.11 +31 31 00.6          17.7 Rq~18BoH45
f4287K08O09B  C2014 09 05.38456 01 46 08.45 +31 31 02.1          17.6 Rq~18BoH45
f4287K08O09B  C2014 09 05.38586 01 46 08.82 +31 31 04.0          17.7 Rq~18BoH45
f4287K08O09B  C2014 09 05.38709 01 46 09.20 +31 31 05.7          17.9 Rq~18BoH45
f4287K08O09B  C2014 09 05.38828 01 46 09.53 +31 31 07.4          17.8 Rq~18BoH45
f4287K08O09B  C2014 09 05.38950 01 46 09.86 +31 31 09.5          18.0 Rq~18BoH45
f4287K08O09B KC2014 09 07.33065 01 56 32.27 +32 18 38.9          18.2 Vq~18d9H21
f4287K08O09B KC2014 09 07.33331 01 56 33.15 +32 18 42.8          17.9 Vq~18d9H21
f4287K08O09B KC2014 09 07.33596 01 56 34.03 +32 18 46.7          18.0 Vq~18d9H21
f4287K08O09B KC2014 09 07.33861 01 56 34.91 +32 18 50.7          17.9 Vq~18d9H21
f4287K08O09B KC2014 09 07.34126 01 56 35.79 +32 18 54.6          18.0 Vq~18d9H21
f4287K08O09B KC2014 09 08.30588 02 02 13.86 +32 42 35.7          17.9 Vq~18d9H21
f4287K08O09B KC2014 09 08.30918 02 02 15.02 +32 42 40.7          17.9 Vq~18d9H21
f4287K08O09B KC2014 09 08.31249 02 02 16.19 +32 42 45.6          17.8 Vq~18d9H21
f4287K08O09B KC2014 09 08.31579 02 02 17.36 +32 42 50.6          17.9 Vq~18d9H21
f4287K08O09B KC2014 09 08.31911 02 02 18.53 +32 42 55.5          17.7 Vq~18d9H21
f4287K08O09B 2C2014 09 09.00286402 06 30.69 +32 59 38.3          17.8 Rq~18d9089
f4287K08O09B 2C2014 09 09.00520002 06 31.59 +32 59 42.3          18.2 Rq~18d9089
