     K07T24U* C2007 10 11.26838 00 43 17.43 -14 27 58.9          20.3 Vrv8884703
     K07T24U  C2008 01 23.74129 00 25 00.05 -17 33 58.8                ox5520204
     K07T24U  C2008 01 23.74549 00 25 00.17 -17 33 40.1                ox5520204
     K07T24U  C2008 01 24.75534 00 27 08.21 -16 05 50.3                ox5520204
     K07T24U  C2008 01 24.75955 00 27 08.48 -16 05 22.4          17.5 Rox5520204
     K07T24U  C2008 01 24.76351 00 27 08.74 -16 04 56.2                ox5520204
     K07T24U  C2008 01 25.72399 00 30 08.32 -13 57 36.9                ox5520246
     K07T24U  C2008 01 25.72475 00 30 08.44 -13 57 29.1                ox5520246
     K07T24U  C2008 01 25.72511 00 30 08.48 -13 57 26.0                ox5520246
     K07T24U  C2008 01 25.72554 00 30 08.56 -13 57 20.5                ox5520246
     K07T24U  C2008 01 25.72605 00 30 08.61 -13 57 15.5                ox5520246
     K07T24U  C2008 01 25.72680 00 30 08.74 -13 57 08.1                ox5520246
     K07T24U  C2008 01 25.74372 00 30 10.82 -13 54 14.4                ox5520046
     K07T24U  C2008 01 25.75194 00 30 11.80 -13 52 47.5                ox5520046
     K07T24U  C2008 01 25.77208 00 30 15.56 -13 49 03.2          16.3 Rox5520A77
     K07T24U  C2008 01 25.77352 00 30 15.66 -13 48 47.5          16.8 Rox5520A77
     K07T24U  C2008 01 25.77422 00 30 15.87 -13 48 42.2          17.6 Rox5520A77
     K07T24U  C2008 01 25.77565 00 30 16.00 -13 48 25.1          16.9 Rox5520A77
     K07T24U  C2008 01 25.77635 00 30 16.23 -13 48 16.5          17.3 Rox5520A77
     K07T24U  C2008 01 25.77777 00 30 16.37 -13 48 02.0          17.2 Rox5520A77
     K07T24U  C2008 01 25.77848 00 30 16.23 -13 47 53.2          17.5 Rox5520A77
     K07T24U  C2008 01 25.77991 00 30 16.55 -13 47 38.7          17.3 Rox5520A77
     K07T24U  C2008 01 26.73403 00 35 11.52 -10 07 45.7          15.5 Vox5520151
     K07T24U  C2008 01 26.73520 00 35 11.81 -10 07 23.3          15.5 Vox5520151
     K07T24U  C2008 01 26.73638 00 35 12.15 -10 07 01.5          15.6 Vox5520151
     K07T24U  C2008 01 26.73912 00 35 12.77 -10 06 10.4          15.6 Vox5520151
     K07T24U  C2008 01 26.74145 00 35 13.33 -10 05 25.9          15.7 Vox5520151
     K07T24U  C2008 01 26.74380 00 35 13.96 -10 04 41.4          15.6 Vox5520151
     K07T24U  C2008 01 26.74618 00 35 14.56 -10 03 56.3          15.5 Vox5520151
     K07T24U  C2008 01 26.82157 00 35 37.80 -09 38 57.7          15.0  ox5520J44
     K07T24U  C2008 01 26.82709 00 35 39.39 -09 37 05.5          15.1  ox5520J44
     K07T24U  C2008 01 26.82891 00 35 39.93 -09 36 28.5          15.4  ox5520J44
     K07T24U  C2008 01 27.01503 00 37 12.50 -08 29 24.7          16.0 Rrx5520H45
     K07T24U  C2008 01 27.01628 00 37 12.88 -08 28 55.4          16.5 Rrx5520H45
     K07T24U  C2008 01 27.01719 00 37 13.14 -08 28 33.5          16.0 Rrx5520H45
     K07T24U  C2008 01 27.01771 00 37 13.29 -08 28 21.8          16.0 Rrx5520H45
     K07T24U  C2008 01 27.01866 00 37 13.56 -08 27 59.4          16.4 Rrx5520H45
     K07T24U  C2008 01 27.01933 00 37 13.74 -08 27 42.6          16.2 Rrx5520H45
     K07T24U  C2008 01 27.01986 00 37 13.88 -08 27 31.4          16.2 Rrx5520H45
     K07T24U  C2008 01 27.02042 00 37 14.06 -08 27 17.9          15.4 Rrx5520H45
     K07T24U  C2008 01 27.02133 00 37 14.32 -08 26 56.4          15.9 Rrx5520H45
     K07T24U  C2008 01 27.02197 00 37 14.49 -08 26 42.1          16.0 Rrx5520H45
     K07T24U  C2008 01 27.02333 00 37 14.87 -08 26 10.2          16.3 Rrx5520H45
     K07T24U  C2008 01 27.02400 00 37 15.06 -08 25 54.4          15.6 Rrx5520H45
