     K07S11P* C2007 09 25.46397 08 24 14.61 +45 11 26.3          20.7 Vrv8166G96
     K07S11P  C2015 11 02.73263 01 50 38.01 +26 36 52.9          19.0 Rq~1bPuD29
     K07S11P  C2015 11 06.29622 01 44 04.24 +27 14 18.0          19.5 rR~1cGDG45
     K07S11P  C2015 11 06.30228 01 44 03.56 +27 14 21.2          19.3 rR~1cGDG45
     K07S11P  C2015 11 06.30767 01 44 02.97 +27 14 25.0          19.7 rR~1cGDG45
     K07S11P  C2015 11 06.30898 01 44 02.81 +27 14 25.3          19.7 rR~1cGDG45
     K07S11P  C2015 11 06.32057 01 44 01.51 +27 14 32.3          19.2 rR~1cGDG45
     K07S11P  C2015 11 06.32680 01 44 00.81 +27 14 36.1          19.6 rR~1cGDG45
     K07S11P  C2015 11 06.33303 01 44 00.12 +27 14 40.0          19.5 rR~1cGDG45
     K07S11P  C2015 11 08.17842 01 40 39.75 +27 32 45.3          18.8 Vq~1cGDG96
     K07S11P  C2015 11 08.18399 01 40 39.14 +27 32 48.7          18.9 Vq~1cGDG96
     K07S11P  C2015 11 08.18957 01 40 38.51 +27 32 51.8          18.9 Vq~1cGDG96
     K07S11P  C2015 11 08.19514 01 40 37.89 +27 32 55.3          18.9 Vq~1cGDG96
     K07S11P  C2015 11 09.24736 01 38 44.72 +27 42 51.7          18.8 Vq~1cGD703
     K07S11P  C2015 11 09.25402 01 38 44.01 +27 42 56.4          19.0 Vq~1cGD703
     K07S11P  C2015 11 09.26068 01 38 43.22 +27 42 57.9          19.2 Vq~1cGD703
     K07S11P  C2015 11 09.26731 01 38 42.50 +27 43 01.8          19.0 Vq~1cGD703
     K07S11P  C2015 11 10.58195 01 36 23.22 +27 55 03.6          20.3 Rq~1cGDD29
     K07S11P  C2015 11 10.59606 01 36 21.69 +27 55 09.5          18.8 Rq~1cGDD29
     K07S11P  C2015 11 12.18608 01 33 36.36 +28 09 06.8          19.6 rR~1cGDG45
     K07S11P  C2015 11 12.19147 01 33 35.79 +28 09 10.0          19.6 rR~1cGDG45
     K07S11P  C2015 11 12.19666 01 33 35.23 +28 09 12.2          19.8 rR~1cGDG45
     K07S11P  C2015 11 12.20205 01 33 34.67 +28 09 15.4          19.8 rR~1cGDG45
     K07S11P  C2015 11 12.21050 01 33 33.78 +28 09 19.5          19.7 rR~1cGDG45
     K07S11P  C2015 11 12.21600 01 33 33.20 +28 09 22.7          19.4 rR~1cGDG45
     K07S11P  C2015 11 12.21825 01 33 32.96 +28 09 23.6          19.4 rR~1cGDG45
     K07S11P  C2015 11 12.22347 01 33 32.39 +28 09 26.0          20.0 rR~1cGDG45
     K07S11P  C2015 11 12.22866 01 33 31.83 +28 09 29.1          19.4 rR~1cGDG45
     K07S11P  C2015 11 12.22883 01 33 31.83 +28 09 29.0          19.7 rR~1cGDG45
     K07S11P  C2015 11 20.27007 01 20 46.46 +29 11 22.8          19.4 Vq~1dccG96
     K07S11P  C2015 11 20.27617 01 20 45.92 +29 11 25.0          19.4 Vq~1dccG96
     K07S11P  C2015 11 20.28227 01 20 45.38 +29 11 27.5          19.4 Vq~1dccG96
     K07S11P  C2015 11 20.28837 01 20 44.84 +29 11 30.0          19.4 Vq~1dccG96
     K07S11P  C2015 11 22.26251 01 17 59.32 +29 24 47.7          19.3 rR~1eNJG45
     K07S11P  C2015 11 22.26830 01 17 58.85 +29 24 49.9          18.8 rR~1eNJG45
     K07S11P  C2015 11 22.27524 01 17 58.24 +29 24 52.6          19.3 rR~1eNJG45
     K07S11P  C2015 11 22.28076 01 17 57.77 +29 24 54.5          18.7 rR~1eNJG45
     K07S11P  C2015 11 30.19120 01 08 40.56 +30 12 47.8          19.9 Vq~1eNJ703
     K07S11P  C2015 11 30.19742 01 08 40.14 +30 12 49.4          20.0 Vq~1eNJ703
     K07S11P  C2015 11 30.20365 01 08 39.70 +30 12 51.8          19.9 Vq~1eNJ703
     K07S11P  C2015 11 30.20987 01 08 39.35 +30 12 53.8          19.5 Vq~1eNJ703
     K07S11P  C2015 12 03.18350 01 05 56.64 +30 29 18.5          19.8 rR~1eNJG45
