     K08S11V* C2008 09 25.26245 23 28 05.01 -09 27 00.6          20.7 Vrz8086G96
     K08S11V  C2008 10 10.06580 23 01 51.49 -10 58 13.9                o~004aH55
     K08S11V  C2008 10 10.07891 23 01 50.07 -10 58 17.7          20.7 Vo~004aH55
     K08S11V  C2008 10 10.09088 23 01 48.83 -10 58 21.6                o~004aH55
     K08S11V  C2008 10 17.15572 22 50 29.12 -11 24 09.8          20.6 Vo~004a291
     K08S11V  C2008 10 17.15970 22 50 28.74 -11 24 10.1          20.8 Vo~004a291
     K08S11V  C2008 10 17.16351 22 50 28.38 -11 24 10.9          20.6 Vo~004a291
     K08S11V  C2008 10 24.11128 22 40 56.77 -11 35 45.3          20.3 Rr~00Qx448
     K08S11V  C2008 10 24.15126 22 40 53.69 -11 35 46.9          20.3 Rr~00Qx448
     K08S11V  C2008 10 24.19093 22 40 50.63 -11 35 48.5          20.6 Rr~00Qx448
     K08S11V  C2008 10 26.04209 22 38 38.71 -11 36 24.9          20.5 Vo~00QxH55
     K08S11V  C2008 10 26.04595 22 38 38.80 -11 36 26.7          20.6 Vo~00QxH55
     K08S11V  C2008 11 02.09735 22 31 40.72 -11 29 30.5          20.5 Vr~00rqG96
     K08S11V  C2008 11 02.10566 22 31 40.29 -11 29 29.3          20.5 Vr~00rqG96
     K08S11V  C2008 11 02.12230 22 31 39.43 -11 29 27.2          20.6 Vr~00rqG96
     K08S11V  C2008 11 18.09834 22 24 43.00 -10 22 09.1          20.5 Vo~01NX291
     K08S11V  C2008 11 18.10709 22 24 42.93 -10 22 05.8          20.6 Vo~01NX291
     K08S11V  C2008 11 18.11582 22 24 42.88 -10 22 02.5          20.6 Vo~01NX291
     K08S11V  C2008 12 25.07490 22 50 08.48 -03 43 01.8          19.8 Rr~02Q0448
     K08S11V  C2008 12 25.10419 22 50 10.73 -03 42 33.5          19.8 Rr~02Q0448
     K08S11V  C2008 12 25.13353 22 50 13.02 -03 42 07.3          20.5 Rr~02Q0448
     K08S11V  C2009 01 15.06603 23 23 48.27 +02 35 44.3          20.8 Rr~03Jh448
     K08S11V  C2009 01 15.08545 23 23 50.27 +02 36 12.6          21.1 Rr~03Jh448
     K08S11V  C2009 01 15.10594 23 23 52.61 +02 36 34.7          20.1 Rr~03Jh448
     K08S11V  C2009 01 31.01992123 55 02.05 +08 35 28.0          20.4 Vo~03JhH55
     K08S11V  C2009 01 31.02500223 55 02.63 +08 35 34.5          20.1 Vo~03JhH55
     K08S11V  C2009 01 31.02947923 55 03.18 +08 35 40.6          20.2 Vo~03JhH55
     K08S11V  C2009 03 21.81159 01 37 23.36 +33 05 35.8                v~05YN204
     K08S11V  C2009 03 21.82597 01 37 28.76 +33 06 44.1          19.6 Cv~05YN204
     K08S11V  C2009 03 26.77464 02 40 42.67 +44 12 46.2          17.2 Vr~05YNB33
     K08S11V  C2009 03 26.78651 02 41 01.04 +44 15 09.7          17.4 Vr~05YNB33
     K08S11V  C2009 03 26.79478 02 41 13.96 +44 16 49.6          17.1 Vr~05YNB33
     K08S11V  C2009 03 26.80053 02 41 22.97 +44 17 59.3          17.4 Vr~05YNB33
     K08S11V  C2009 03 26.80165 02 41 24.72 +44 18 12.8          17.4 Vr~05YNB33
     K08S11V  C2009 03 28.19954 03 31 47.00 +49 39 05.4          17.1 Rr~05t3H26
     K08S11V  C2009 03 28.20005 03 31 48.53 +49 39 13.7          17.3 Rr~05t3H26
     K08S11V  C2009 03 28.20057 03 31 50.07 +49 39 19.6          17.0 Rr~05t3H26
     K08S11V  C2009 03 28.20108 03 31 51.55 +49 39 27.6          17.3 Rr~05t3H26
     K08S11V  C2009 03 28.20211 03 31 54.60 +49 39 41.2          16.9 Rr~05t3H26
     K08S11V  C2009 03 28.20263 03 31 56.23 +49 39 49.5          17.1 Rr~05t3H26
     K08S11V  C2009 03 28.20469 03 32 02.30 +49 40 18.1          17.3 Rr~05t3H26
     K08S11V  C2009 03 28.20521 03 32 03.88 +49 40 25.5          16.9 Rr~05t3H26
     K08S11V  C2009 03 28.20674 03 32 08.37 +49 40 46.4          17.1 Rr~05t3H26
     K08S11V  C2009 03 28.20777 03 32 11.46 +49 41 01.6          17.3 Rr~05t3H26
     K08S11V  C2009 03 28.20828 03 32 13.03 +49 41 09.1          17.1 Rr~05t3H26
     K08S11V  C2009 03 28.20880 03 32 14.52 +49 41 16.2          17.2 Rr~05t3H26
     K08S11V  C2009 03 29.88951 05 34 58.42 +54 49 00.3          14.9 Cv~05t3J69
     K08S11V  C2009 03 29.88994 05 35 02.37 +54 49 01.5          14.7 Cv~05t3J69
     K08S11V  C2009 03 29.89072 05 35 06.74 +54 49 01.9          14.6 Cv~05t3J69
     K08S11V  C2009 03 29.89372 05 35 24.71 +54 49 07.6          14.9 Cv~05t3J69
     K08S11V  C2009 03 29.89454 05 35 29.59 +54 49 09.5          14.9 Cv~05t3J69
     K08S11V  C2009 03 29.89537 05 35 34.41 +54 49 10.8          14.7 Cv~05t3J69
     K08S11V  C2009 03 29.89701 05 35 44.23 +54 49 13.4          14.9 Cv~05t3J69
     K08S11V  C2009 03 29.91708 05 37 43.83 +54 49 42.0          15.7 Co~05t3J93
     K08S11V  C2009 03 29.91740 05 37 45.77 +54 49 42.0          15.6 Co~05t3J93
     K08S11V  C2009 03 29.91772 05 37 47.65 +54 49 42.1          15.7 Co~05t3J93
     K08S11V  C2009 03 30.05295705 51 32.72 +54 49 30.2                o~05t3J95
     K08S11V  C2009 03 30.05549805 51 48.64 +54 49 26.6                o~05t3J95
     K08S11V  C2009 03 30.05793005 52 03.85 +54 49 23.2          14.7 Ro~05t3J95
