     K07C19A  C2007 03 12.77047 08 25 32.81 +10 31 50.5          17.4 Vru3160240
     K07C19A  C2007 03 12.77145 08 25 32.54 +10 31 52.3          17.4 Vru3160240
     K07C19A  C2007 03 12.77194 08 25 32.41 +10 31 53.2          17.3 Vru3160240
     K07C19A  C2007 03 12.77341 08 25 32.00 +10 31 55.8          17.4 Vru3160240
     K07C19A  C2007 03 12.77684 08 25 31.05 +10 32 02.1          17.5 Vru3160240
     K07C19A  C2007 03 12.77831 08 25 30.64 +10 32 04.9          17.5 Vru3160240
     K07C19A  C2007 03 12.77880 08 25 30.49 +10 32 05.7          17.5 Vru3160240
     K07C19A  C2007 03 12.78852 08 25 27.74 +10 32 23.7                cu3160246
     K07C19A  C2007 03 12.78914 08 25 27.58 +10 32 24.5                cu3160246
     K07C19A  C2007 03 12.79103 08 25 27.04 +10 32 28.2                cu3160246
     K07C19A  C2007 03 12.79181 08 25 26.82 +10 32 29.6                cu3160246
     K07C19A  C2007 03 12.79273 08 25 26.54 +10 32 31.3                cu3160246
     K07C19A  C2007 03 12.79339 08 25 26.39 +10 32 32.3                cu3160246
     K07C19A  C2007 03 12.83210 08 25 15.50 +10 33 44.4          17.6 Vcu3160B23
     K07C19A  C2007 03 12.83446 08 25 14.84 +10 33 48.6          18.0 Vcu3160B23
     K07C19A  C2007 03 12.83682 08 25 14.16 +10 33 53.0          17.9 Vcu3160B23
     K07C19A  C2007 03 12.83918 08 25 13.49 +10 33 57.2          17.7 Vcu3160B23
     K07C19A  C2007 03 12.89203 08 24 58.81 +10 35 32.2          17.5 Rcv1387A24
     K07C19A  C2007 03 12.90561 08 24 55.06 +10 35 56.4          17.8 Rcv1387A24
     K07C19A  C2007 03 12.91662 08 24 51.94 +10 36 16.8          17.9 Rcv1387A24
     K07C19A  C2007 03 12.92756 08 24 48.86 +10 36 36.7          18.0 Rcv1387A24
     K07C19A  C2007 03 12.94392 08 24 44.28 +10 37 06.3          17.6 Rcu3160A24
     K07C19A  C2007 03 12.94492 08 24 44.02 +10 37 07.8          17.1 Rcu3160A24
     K07C19A  C2007 03 12.95290 08 24 41.79 +10 37 22.4          17.6 Rcv1387A24
     K07C19A  C2007 03 12.96188 08 24 39.28 +10 37 38.5          17.4 Rcv1387A24
     K07C19A  C2007 03 12.96986 08 24 37.06 +10 37 52.7          17.5 Rcu3160A24
     K07C19A  C2007 03 12.97086 08 24 36.75 +10 37 54.7          17.3 Rcu3160A24
     K07C19A  C2007 03 12.97883 08 24 34.54 +10 38 09.0          17.5 Rcv1387A24
     K07C19A  C2007 03 12.98781 08 24 32.03 +10 38 25.3          17.5 Rcv1387A24
     K07C19A  C2007 03 12.99579 08 24 29.82 +10 38 39.7          17.3 Rcu3160A24
     K07C19A  C2007 03 12.99679 08 24 29.54 +10 38 41.6          17.2 Rcu3160A24
     K07C19A  C2007 03 13.01056 08 24 25.69 +10 39 06.5          17.9 Rcv1387A24
     K07C19A  C2007 03 13.02314 08 24 22.16 +10 39 29.4          17.9 Rcv1387A24
