     K06P01A [C2006 07 20.43356 21 05 53.56 -18 45 16.2                c~0C8E568
     K06P01A* C2006 08 13.23261 20 26 59.62 -20 12 06.9          19.6 Ror5753644
     K06P01A  C2007 01 19.92880 09 12 42.51 +20 20 00.6          17.6 Rct7091A24
     K06P01A  C2007 01 19.94038 09 12 40.81 +20 19 58.2          17.7 Rcv0584A24
     K06P01A  C2007 01 19.95953 09 12 37.94 +20 19 54.0          17.6 Rcv0584A24
     K06P01A  C2007 01 19.96357 09 12 37.39 +20 19 53.9          17.4 Rct7091A24
     K06P01A  C2007 01 19.96457 09 12 37.24 +20 19 53.7          17.4 Rct7091A24
     K06P01A  C2007 01 19.97145 09 12 36.19 +20 19 51.8          17.7 Rcv0584A24
     K06P01A  C2007 01 19.98338 09 12 34.44 +20 19 49.6          17.6 Rcv0584A24
     K06P01A  C2007 01 19.98384 09 12 34.35 +20 19 49.2          17.7 Rcv0584A24
     K06P01A  C2007 01 20.02101 09 12 28.85 +20 19 41.5          17.5 Rct7091A24
     K06P01A  C2007 01 20.02201 09 12 28.70 +20 19 41.3          17.6 Rct7091A24
     K06P01A  C2007 01 20.02320 09 12 28.43 +20 19 40.7          18.4  rt7091130
     K06P01A  C2007 01 20.02520 09 12 28.12 +20 19 40.4          18.3  rt7091130
     K06P01A  C2007 01 20.02754 09 12 27.78 +20 19 39.5          18.3  rt7091130
     K06P01A  C2007 01 20.03071 09 12 27.34 +20 19 38.7          18.2  rt7091130
     K06P01A  C2007 01 20.37473 09 11 39.40 +20 18 22.0          18.0 Rrt7091H51
     K06P01A  C2007 01 20.38987 09 11 37.21 +20 18 18.4          17.9 Rrt7091H51
     K06P01A  C2007 01 20.40500 09 11 35.01 +20 18 14.4          18.1 Rrt7091H51
     K06P01A  C2007 01 21.22977 09 09 45.27 +20 15 12.1          18.5 Vot7091H89
     K06P01A  C2007 01 21.27310 09 09 40.18 +20 15 08.6          17.7  ct7091704
     K06P01A  C2007 01 21.28532 09 09 38.48 +20 15 05.6          18.0  ct7091704
     K06P01A  C2007 01 21.28931 09 09 37.01 +20 14 58.5          19.6 Vot7091H89
     K06P01A  C2007 01 21.29755 09 09 36.66 +20 15 03.2          18.0  ct7091704
     K06P01A  C2007 01 21.30980 09 09 34.89 +20 14 59.8          17.9  ct7091704
     K06P01A  C2007 01 21.32214 09 09 33.13 +20 14 57.4          18.2  ct7091704
     K06P01A  C2007 01 21.34017 09 09 29.63 +20 14 46.5          19.0 Vot7091H89
     K06P01A  C2007 01 21.43690 09 09 17.17 +20 14 31.3          16.9 Vdt7091G72
     K06P01A  C2007 01 21.44337 09 09 16.17 +20 14 30.4          16.8 Vdt7091G72
     K06P01A  C2007 01 21.44428 09 09 16.06 +20 14 30.9          16.7 Vdt7091G72
     K06P01A  C2007 01 21.44801 09 09 15.49 +20 14 28.5          16.8 Vdt7091G72
     K06P01A  C2007 01 21.45367 09 09 14.68 +20 14 27.9          16.5 Vdt7091G72
     K06P01A  C2007 01 21.45644 09 09 14.27 +20 14 28.7          16.9 Vdt7091G72
     K06P01A  C2007 01 23.37943 09 05 09.72 +20 07 34.6          17.9 Rrt7091H45
     K06P01A  C2007 01 23.38043 09 05 09.61 +20 07 34.3          17.9 Rrt7091H45
     K06P01A  C2007 01 23.38147 09 05 09.48 +20 07 34.0          17.8 Rrt7091H45
     K06P01A  C2007 01 23.38257 09 05 09.33 +20 07 33.8          18.0 Rrt7091H45
     K06P01A  C2007 01 23.38352 09 05 09.21 +20 07 33.5          18.0 Rrt7091H45
