     K07Y00Z* C2007 12 17.66571 07 33 05.21 +20 25 59.4          18.4 Rox1902300
     K07Y00Z  C2007 12 30.58056 06 59 06.19 +41 57 59.9                 x2677355
     K07Y00Z  C2007 12 30.58171 06 59 05.78 +41 58 10.5                 x2677355
     K07Y00Z  C2007 12 30.58286 06 59 05.37 +41 58 20.6                 x2677355
     K07Y00Z  C2007 12 30.84717 06 57 39.01 +42 36 51.5          16.0 Rrx2677170
     K07Y00Z  C2007 12 30.84810 06 57 38.67 +42 36 59.9          16.1 Rrx2677170
     K07Y00Z  C2007 12 30.84924 06 57 38.26 +42 37 10.1          16.1 Rrx2677170
     K07Y00Z  C2007 12 31.25332 06 55 14.18 +43 37 53.2          16.2 roz5251699
     K07Y00Z  C2007 12 31.27160 06 55 07.02 +43 40 40.3          16.1 roz5251699
     K07Y00Z  C2007 12 31.28994 06 54 59.80 +43 43 27.9          16.1 roz5251699
     K07Y00Z  C2007 12 31.30828 06 54 52.54 +43 46 14.7          16.0 roz5251699
     K07Y00Z  C2007 12 31.34641 06 54 36.08 +43 52 05.2          15.8 Rdx4362H31
     K07Y00Z  C2007 12 31.34988 06 54 34.63 +43 52 36.0          15.8 Rdx4362H31
     K07Y00Z  C2007 12 31.35336 06 54 33.26 +43 53 07.0          16.1 Rdx4362H31
     K07Y00Z  C2007 12 31.35683 06 54 31.92 +43 53 38.7          16.1 Rdx4362H31
     K07Y00Z  C2007 12 31.38689 06 54 19.87 +43 58 01.1          15.8 Rrx2677H45
     K07Y00Z  C2007 12 31.38762 06 54 19.59 +43 58 07.3          15.8 Rrx2677H45
     K07Y00Z  C2007 12 31.38862 06 54 19.20 +43 58 16.1          15.9 Rrx2677H45
     K07Y00Z  C2007 12 31.38943 06 54 18.87 +43 58 23.6          15.7 Rrx2677H45
     K07Y00Z  C2007 12 31.39031 06 54 18.53 +43 58 31.4          15.7 Rrx2677H45
     K07Y00Z  C2007 12 31.39127 06 54 18.15 +43 58 39.9          15.8 Rrx2677H45
     K07Y00Z  C2007 12 31.39284 06 54 17.54 +43 58 54.1          15.7 Rrx2677H45
     K07Y00Z  C2007 12 31.50286 06 53 43.38 +44 15 38.7          16.2 Vrx2677379
     K07Y00Z  C2007 12 31.50508 06 53 42.44 +44 15 59.9          16.4 Vrx2677379
     K07Y00Z  C2007 12 31.50730 06 53 41.57 +44 16 20.3          16.3 Vrx2677379
     K07Y00Z  C2007 12 31.51554 06 53 38.34 +44 17 37.7          16.6 Vrx2677379
     K07Y00Z  C2007 12 31.54711 06 53 25.54 +44 22 31.1          16.6 Vrx2677379
     K07Y00Z  C2007 12 31.64911 06 52 43.41 +44 38 14.6          16.6 Vrx2677379
     K07Y00Z  C2007 12 31.66426 06 52 37.18 +44 40 33.7          16.5 Vrx2677379
     K07Y00Z  C2007 12 31.66870 06 52 35.32 +44 41 14.1          16.5 Vrx2677379
     K07Y00Z  C2007 12 31.67190 06 52 33.88 +44 41 43.2          15.9 R x2677355
     K07Y00Z  C2007 12 31.67420 06 52 32.87 +44 42 04.2                 x2677355
     K07Y00Z  C2007 12 31.67536 06 52 32.39 +44 42 14.7                 x2677355
     K07Y00Z  C2007 12 31.67999 06 52 30.50 +44 42 56.9                 x2677355
     K07Y00Z  C2007 12 31.68230 06 52 29.51 +44 43 18.4                 x2677355
     K07Y00Z  C2007 12 31.68382 06 52 28.97 +44 43 32.4          16.5 Vrx2677379
     K07Y00Z  C2007 12 31.90214 06 51 06.95 +45 17 04.7          16.6 Rrx2677143
     K07Y00Z  C2007 12 31.91164 06 51 02.92 +45 18 34.2          16.8 Rrx2677143
     K07Y00Z  C2007 12 31.91934 06 50 59.65 +45 19 46.7          16.8 Rrx2677143
     K07Y00Z  C2007 12 31.93087 06 50 54.74 +45 21 35.2          16.8 Rrx2677143
     K07Y00Z  C2008 01 01.15074 06 49 19.43 +45 55 44.6          16.2 Vrx2677B09
     K07Y00Z  C2008 01 01.17325 06 49 09.83 +45 59 12.5          16.1 Vrx2677B09
     K07Y00Z  C2008 01 01.17888 06 49 14.89 +46 00 37.2          16.0 Rdx4362H31
     K07Y00Z  C2008 01 01.18235 06 49 13.42 +46 01 10.8          15.7 Rdx4362H31
     K07Y00Z  C2008 01 01.18582 06 49 11.86 +46 01 43.9          15.8 Rdx4362H31
     K07Y00Z  C2008 01 01.18929 06 49 10.30 +46 02 17.1          15.7 Rdx4362H31
     K07Y00Z  C2008 01 01.33616 06 48 03.06 +46 25 23.1          16.0 Rrx2677H45
     K07Y00Z  C2008 01 01.33705 06 48 02.66 +46 25 31.4          16.0 Rrx2677H45
     K07Y00Z  C2008 01 01.33857 06 48 01.93 +46 25 46.0          16.1 Rrx2677H45
     K07Y00Z  C2008 01 01.33940 06 48 01.57 +46 25 53.6          15.9 Rrx2677H45
     K07Y00Z  C2008 01 01.34030 06 48 01.15 +46 26 02.0          15.8 Rrx2677H45
