G3818K03R07X* C2003 09 06.26545 22 54 08.97 +25 11 23.6          18.2 Roi4170699
G3818K03R07X  C2003 09 18.87220 22 24 54.94 +23 14 37.5          18.3 Rci4596132
G3818K03R07X  C2003 09 19.91525 22 22 27.16 +22 58 24.6          17.9 Rci4596113
G3818K03R07X  C2003 09 19.91884 22 22 26.60 +22 58 21.4          18.0 Rci4596113
G3818K03R07X  C2003 09 19.92064 22 22 26.29 +22 58 19.3          17.8 Rci4596113
G3818K03R07X  C2003 09 19.92244 22 22 26.04 +22 58 17.7          18.1 Rci4596113
G3818K03R07X  C2003 09 20.79026 22 20 24.97 +22 44 04.0          18.5 Vri5308151
G3818K03R07X  C2003 09 20.79103 22 20 24.89 +22 44 03.5          18.2 Vri5308151
G3818K03R07X  C2003 09 20.79139 22 20 24.82 +22 44 03.2          18.3 Vri5308151
G3818K03R07X  C2003 09 20.79180 22 20 24.76 +22 44 02.8          18.3 Vri5308151
G3818K03R07X  C2003 09 20.79227 22 20 24.69 +22 44 02.4          18.2 Vri5308151
G3818K03R07X  C2003 09 20.79264 22 20 24.65 +22 44 02.0          18.2 Vri5308151
G3818K03R07X  C2003 09 20.79485 22 20 24.29 +22 43 59.9          18.4 Vri5308151
G3818K03R07X  C2003 09 20.79606 22 20 24.12 +22 43 59.1          18.4 Vri5308151
G3818K03R07X  C2003 09 21.82154 22 18 01.18 +22 26 21.3          18.6 Vri5308240
G3818K03R07X  C2003 09 21.82299 22 18 00.96 +22 26 19.7          18.5 Vri5308240
G3818K03R07X  C2003 09 21.82661 22 18 00.45 +22 26 15.8          18.5 Vri5308240
G3818K03R07X  C2003 09 21.83022 22 17 59.94 +22 26 12.0          18.3 Vri5308240
G3818K03R07X  C2003 09 22.23441 22 17 03.59 +22 19 06.6          19.3  ci5308704
G3818K03R07X  C2003 09 22.24686 22 17 01.77 +22 18 52.0          19.5  ci5308704
G3818K03R07X  C2003 09 22.25950 22 16 59.95 +22 18 38.4          19.3  ci5308704
G3818K03R07X  C2003 09 22.27213 22 16 58.15 +22 18 25.4          19.4  ci5308704
G3818K03R07X  C2003 09 22.28482 22 16 56.37 +22 18 10.3          19.4  ci5308704
G3818K03R07X  C2003 09 25.81608 22 09 02.32 +21 09 37.2                ci5308246
G3818K03R07X  C2003 09 25.81723 22 09 02.15 +21 09 36.2                ci5308246
G3818K03R07X  C2003 09 25.81860 22 09 01.97 +21 09 34.3                ci5308246
G3818K03R07X  C2003 09 28.76682 22 02 49.41 +20 05 34.9                di6262118
G3818K03R07X  C2003 09 28.76876 22 02 49.13 +20 05 32.0                di6262118
G3818K03R07X  C2003 09 28.77484 22 02 48.37 +20 05 24.3          18.4 Rdi6262118
G3818K03R07X  C2003 10 03.93958 21 53 03.45 +18 01 37.8          17.9 Rri6972176
G3818K03R07X  C2003 10 03.94421 21 53 02.94 +18 01 30.8          18.0 Rri6972176
G3818K03R07X  C2003 10 03.94987 21 53 02.32 +18 01 22.2          18.3 Rri6972176
G3818K03R07X  C2003 10 03.95428 21 53 01.84 +18 01 15.5          18.2 Rri6972176
G3818K03R07X  C2003 10 03.95567 21 53 01.69 +18 01 13.4          18.5 Rri6972176
G3818K03R07X  C2003 10 04.82404 21 51 34.36 +17 39 17.3          18.0 Rri6973941
G3818K03R07X  C2003 10 04.82483 21 51 34.28 +17 39 15.9          18.0 Rri6973941
G3818K03R07X  C2003 10 04.82561 21 51 34.18 +17 39 14.6          18.0 Rri6973941
G3818K03R07X  C2003 10 04.82640 21 51 34.09 +17 39 13.5          18.0 Rri6973941
G3818K03R07X  C2003 10 04.82719 21 51 34.01 +17 39 12.3          18.0 Rri6973941
G3818K03R07X  C2003 10 09.84394 21 44 05.62 +15 28 20.4          18.5 Rri6973941
G3818K03R07X  C2003 10 09.84473 21 44 05.55 +15 28 19.1          18.5 Rri6973941
G3818K03R07X  C2003 10 09.84552 21 44 05.48 +15 28 17.8          18.5 Rri6973941
G3818K03R07X  C2003 10 09.84787 21 44 05.26 +15 28 14.0          18.5 Rri6973941
G3818K03R07X  C2003 10 12.82232 21 40 31.37 +14 08 39.4          18.5 Vri7323240
G3818K03R07X  C2003 10 12.82322 21 40 31.31 +14 08 37.6          18.6 Vri7323240
G3818K03R07X  C2003 10 12.82412 21 40 31.23 +14 08 36.3          18.7 Vri7323240
G3818K03R07X  C2003 10 12.82861 21 40 30.93 +14 08 28.7          18.7 Vri7323240
G3818K03R07X  C2003 10 12.83131 21 40 30.72 +14 08 24.1          18.6 Vri7323240
