     K09O00F  C2009 07 25.90288 16 38 36.29 -06 56 21.7          18.4 Vc~07slA48
     K09O00F  C2009 07 25.90468 16 38 36.70 -06 56 34.8          18.0 Rr~07slJ95
     K09O00F QC2009 07 26.52726 16 35 16.98 -07 32 26.1          17.8 Vr~07slE12
     K09O00F  C2009 07 26.87104 16 33 23.17 -07 56 29.8          18.2 Cw~07sl160
     K09O00F  C2009 07 26.87335 16 33 22.33 -07 56 38.8          18.1 Cw~07sl160
     K09O00F  C2009 07 26.87612 16 33 21.31 -07 56 49.7          18.1 Cw~07sl160
     K09O00F  C2009 07 27.10273 16 32 04.16 -08 11 54.8          19.1 Vo~07slH55
     K09O00F  C2009 07 27.10673 16 32 02.63 -08 12 11.1          19.1 Vo~07slH55
     K09O00F  C2009 07 27.11073 16 32 01.09 -08 12 27.6          18.8 Vo~07slH55
     K09O00F  C2009 07 27.11460 16 31 59.61 -08 12 43.1          18.9 Vo~07slH55
     K09O00F  C2009 07 27.16362 16 31 41.33 -08 16 02.6          18.0 Rr~07sl649
     K09O00F  C2009 07 27.16540 16 31 40.69 -08 16 10.7          18.4 Rr~07sl649
     K09O00F  C2009 07 27.16719 16 31 39.95 -08 16 16.7          17.9 Rr~07sl649
     K09O00F  C2009 07 27.16897 16 31 39.23 -08 16 24.6          17.8 Rr~07sl649
     K09O00F  C2009 07 27.22538 16 31 17.40 -08 20 10.1          18.3 Rr~07slH45
     K09O00F  C2009 07 27.22738 16 31 16.66 -08 20 17.7          18.2 Rr~07slH45
     K09O00F  C2009 07 27.22844 16 31 16.27 -08 20 22.1          18.5 Rr~07slH45
     K09O00F  C2009 07 27.22951 16 31 15.86 -08 20 26.5          18.1 Rr~07slH45
     K09O00F  C2009 07 27.23058 16 31 15.44 -08 20 30.9          17.8 Rr~07slH45
     K09O00F  C2009 07 27.23148 16 31 15.11 -08 20 34.1          18.0 Rr~07slH45
     K09O00F  C2009 07 27.23232 16 31 14.75 -08 20 38.0          18.3 Rr~07slH45
     K09O00F  C2009 07 27.25445 16 31 08.57 -08 22 15.2          17.7 Co~07slG58
     K09O00F  C2009 07 27.25810 16 31 07.19 -08 22 30.1          18.5 Co~07slG58
     K09O00F  C2009 07 27.26238 16 31 05.53 -08 22 48.0          18.5 Co~07slG58
     K09O00F  C2009 07 28.09482 16 25 54.81 -09 23 38.0          18.5 Vo~07slH55
     K09O00F  C2009 07 28.09761 16 25 53.61 -09 23 50.8          18.6 Vo~07slH55
     K09O00F  C2009 07 28.09892 16 25 53.04 -09 23 56.7          18.5 Vo~07slH55
     K09O00F  C2009 07 28.10041 16 25 52.40 -09 24 03.7          18.6 Vo~07slH55
     K09O00F  C2009 07 28.10321 16 25 51.19 -09 24 16.6          18.7 Vo~07slH55
     K09O00F  C2009 07 28.85581 16 20 37.81 -10 25 20.3          18.4 Vo~07sl151
     K09O00F  C2009 07 28.85814 16 20 36.73 -10 25 32.1          18.3 Vo~07sl151
     K09O00F  C2009 07 28.86047 16 20 35.64 -10 25 43.9          18.1 Vo~07sl151
     K09O00F  C2009 07 28.86217 16 20 34.57 -10 25 48.0          17.7 Cw~07sl160
     K09O00F  C2009 07 28.86521 16 20 33.12 -10 26 03.9          17.9 Cw~07sl160
     K09O00F  C2009 07 28.86832 16 20 31.67 -10 26 19.5          17.7 Cw~07sl160
     K09O00F  C2009 07 28.90023 16 20 16.98 -10 29 03.0          17.5 Rc~07sl587
     K09O00F  C2009 07 28.90181 16 20 16.26 -10 29 11.0          17.9 Rc~07sl587
     K09O00F  C2009 07 28.90345 16 20 15.48 -10 29 19.2          17.5 Rc~07sl587
     K09O00F  C2009 07 29.85635 16 12 49.73 -11 56 12.6          18.1 Vc~07sl560
     K09O00F  C2009 07 29.85660 16 12 49.59 -11 56 14.1          18.0 Vc~07sl560
     K09O00F  C2009 07 29.85737 16 12 49.18 -11 56 18.7          18.1 Vc~07sl560
     K09O00F  C2009 07 30.10311 16 10 44.67 -12 20 27.8          18.3 Vo~07slH55
     K09O00F  C2009 07 30.10504 16 10 43.58 -12 20 39.5          18.3 Vo~07slH55
     K09O00F  C2009 07 30.10739 16 10 42.26 -12 20 53.5          18.3 Vo~07slH55
     K09O00F  C2009 07 30.11056 16 10 40.51 -12 21 12.4          18.1 Vo~07slH55
     K09O00F  C2009 08 01.11214 15 50 20.90 -16 12 20.6          18.6 Vo~07slH55
     K09O00F  C2009 08 01.11326 15 50 20.05 -16 12 29.5          18.5 Vo~07slH55
     K09O00F  C2009 08 01.11550 15 50 18.36 -16 12 46.8          18.6 Vo~07slH55
     K09O00F  C2009 08 01.11689 15 50 17.31 -16 12 57.6          18.7 Vo~07slH55
     K09O00F QC2009 08 02.50061 15 31 36.05 -19 30 52.2          17.3 Vr~08CYE12
     K09O00F  C2009 08 03.08566 15 22 14.57 -21 10 08.1          17.6 Vo~08CYH55
     K09O00F  C2009 08 03.08659 15 22 13.59 -21 10 17.9          18.1 Vo~08CYH55
     K09O00F  C2009 08 03.08752 15 22 12.59 -21 10 27.3          17.9 Vo~08CYH55
     K09O00F  C2009 08 03.08836 15 22 11.69 -21 10 35.8          18.1 Vo~08CYH55
     K09O00F  C2009 08 05.41925 14 31 43.49 -28 35 53.1          17.7 Rr~08CYE16
     K09O00F  C2009 08 05.42132 14 31 40.00 -28 36 18.3          17.6 Rr~08CYE16
     K09O00F  C2009 08 05.42318 14 31 36.86 -28 36 41.0          17.5 Rr~08CYE16
     K09O00F  C2009 08 05.43195 14 31 22.03 -28 38 28.2          17.5 Rr~08CYE16
     K09O00F 2C2010 01 19.30356404 45 15.127+13 19 06.44         23.7 Ro~0Dvx568
     K09O00F 2C2010 01 19.31112004 45 15.200+13 19 11.37         23.8 Ro~0Dvx568
     K09O00F 2C2010 01 19.31905904 45 15.286+13 19 16.71         23.6 Ro~0Dvx568
