X2446K08A04F KC2002 06 01.33892 16 11 38.23 -07 35 53.8          20.8 Vr~0CfY644
X2446K08A04F KC2002 06 01.34999 16 11 36.88 -07 35 53.5                r~0CfY644
X2446K08A04F [C2007 07 28.34900 16 33 01.60 -20 28 04.3                c~0C8N568
X2446K08A04F  C2008 01 20.42773 10 42 56.20 +30 37 37.5          16.2 Rrx5083H51
X2446K08A04F  C2008 01 20.42818 10 42 56.05 +30 37 39.6          15.9 Rrx5083H51
X2446K08A04F  C2008 01 20.42863 10 42 55.86 +30 37 41.1          16.1 Rrx5083H51
X2446K08A04F  C2008 01 20.42909 10 42 55.69 +30 37 43.0          16.1 Rrx5083H51
X2446K08A04F  C2008 01 20.42954 10 42 55.53 +30 37 44.9          15.9 Rrx5083H51
X2446K08A04F  C2008 01 20.42998 10 42 55.37 +30 37 46.6          16.1 Rrx5083H51
X2446K08A04F  C2008 01 20.43043 10 42 55.19 +30 37 48.5          15.9 Rrx5083H51
X2446K08A04F  C2008 01 20.43088 10 42 55.04 +30 37 50.4          15.9 Rrx5083H51
X2446K08A04F  C2008 01 20.43133 10 42 54.87 +30 37 52.2          16.0 Rrx5083H51
X2446K08A04F  C2008 01 20.43178 10 42 54.69 +30 37 54.1          16.1 Rrx5083H51
X2446K08A04F  C2008 01 20.43222 10 42 54.53 +30 37 55.7          15.9 Rrx5083H51
X2446K08A04F  C2008 01 20.95550 10 40 00.61 +31 12 24.2          15.7 Rox5083B04
X2446K08A04F  C2008 01 20.95656 10 40 00.27 +31 12 28.6          15.9 Rox5083B04
X2446K08A04F  C2008 01 20.97156 10 39 54.93 +31 13 28.3          15.8 Rox5083B04
X2446K08A04F  C2008 01 20.97632 10 39 53.20 +31 13 47.0          15.9 Rox5083B04
X2446K08A04F  C2008 01 20.99851 10 39 46.29 +31 15 23.0          15.9 Rcx5543J40
X2446K08A04F  C2008 01 21.00709 10 39 43.24 +31 15 56.7          16.0 Rcx5543J40
X2446K08A04F  C2008 01 21.01573 10 39 40.15 +31 16 30.5          15.9 Rcx5543J40
X2446K08A04F  C2008 01 21.32374 10 37 55.83 +31 35 55.3          15.9 Rrx5083H45
X2446K08A04F  C2008 01 21.32441 10 37 55.62 +31 35 57.7          15.8 Rrx5083H45
X2446K08A04F  C2008 01 21.32582 10 37 55.11 +31 36 03.1          15.7 Rrx5083H45
X2446K08A04F  C2008 01 21.32712 10 37 54.64 +31 36 07.9          15.6 Rrx5083H45
X2446K08A04F  C2008 01 21.32821 10 37 54.23 +31 36 12.1          15.6 Rrx5083H45
X2446K08A04F  C2008 01 21.33005 10 37 53.56 +31 36 18.8          15.6 Rrx5083H45
X2446K08A04F  C2008 01 21.33164 10 37 53.01 +31 36 24.9          15.8 Rrx5083H45
X2446K08A04F  C2008 01 21.33477 10 37 51.87 +31 36 36.4          15.6 Rrx5083H45
X2446K08A04F  C2008 01 23.16969 10 28 21.01 +33 17 37.4          16.7 Rrx5543H51
X2446K08A04F  C2008 01 23.17020 10 28 20.78 +33 17 39.7          16.3 Rrx5543H51
X2446K08A04F  C2008 01 23.17071 10 28 20.64 +33 17 40.9          16.4 Rrx5543H51
X2446K08A04F  C2008 01 23.17121 10 28 20.50 +33 17 42.6          16.5 Rrx5543H51
X2446K08A04F  C2008 01 23.17172 10 28 20.34 +33 17 44.7          16.4 Rrx5543H51
X2446K08A04F  C2008 01 23.17222 10 28 20.20 +33 17 45.6          16.5 Rrx5543H51
X2446K08A04F  C2008 01 23.17273 10 28 20.00 +33 17 47.4          16.5 Rrx5543H51
X2446K08A04F  C2008 01 23.17323 10 28 19.88 +33 17 49.0          16.5 Rrx5543H51
X2446K08A04F  C2008 01 23.17373 10 28 19.71 +33 17 50.5          16.6 Rrx5543H51
X2446K08A04F  C2008 01 23.17423 10 28 19.53 +33 17 52.0          16.6 Rrx5543H51
X2446K08A04F  C2008 01 23.98994 10 24 21.25 +33 56 39.9          16.4 Vcx5543A48
X2446K08A04F  C2008 01 23.99186 10 24 20.66 +33 56 45.1          16.4 Vcx5543A48
X2446K08A04F  C2008 01 23.99379 10 24 20.07 +33 56 50.4          16.3 Vcx5543A48
X2446K08A04F  C2008 01 23.99572 10 24 19.47 +33 56 56.0          16.4 Vcx5543A48
X2446K08A04F  C2008 01 25.40455 10 17 52.27 +34 55 39.7          16.8 Rrx5543H51
X2446K08A04F  C2008 01 25.40510 10 17 52.09 +34 55 41.3          16.7 Rrx5543H51
X2446K08A04F  C2008 01 25.40567 10 17 51.89 +34 55 42.1          16.2 Rrx5543H51
X2446K08A04F  C2008 01 25.40623 10 17 51.79 +34 55 43.1          16.3 Rrx5543H51
X2446K08A04F  C2008 01 25.40679 10 17 51.67 +34 55 44.3          16.4 Rrx5543H51
X2446K08A04F  C2008 01 25.40736 10 17 51.52 +34 55 45.6          16.4 Rrx5543H51
X2446K08A04F  C2008 01 25.40792 10 17 51.34 +34 55 47.2          17.2 Rrx5543H51
X2446K08A04F  C2008 01 25.40848 10 17 51.13 +34 55 48.6          16.5 Rrx5543H51
X2446K08A04F  C2008 01 25.40905 10 17 50.97 +34 55 49.8          16.6 Rrx5543H51
X2446K08A04F  C2008 01 25.40962 10 17 50.82 +34 55 51.1          16.8 Rrx5543H51
X2446K08A04F  C2008 01 25.41019 10 17 50.69 +34 55 52.6          16.7 Rrx5543H51
X2446K08A04F  C2008 01 25.41075 10 17 50.49 +34 55 53.4          16.9 Rrx5543H51
