f7949K07T23B 7C2007 10 03.48787 04 03 37.04 -01 06 17.3          20.0 ro~0Wj3705
f7949K07T23B 7C2007 10 03.48870 04 03 36.96 -01 06 16.4                o~0Wj3705
f7949K07T23B 7C2007 10 03.49119 04 03 36.72 -01 06 13.3                o~0Wj3705
f7949K07T23B 7C2007 10 08.48646 03 54 21.57 +00 38 10.2          19.0 ro~0Wj3705
f7949K07T23B 7C2007 10 08.48729 03 54 21.47 +00 38 11.3                o~0Wj3705
f7949K07T23B 7C2007 10 08.48977 03 54 21.13 +00 38 14.7                o~0Wj3705
f7949K07T23B 7C2007 10 09.46484 03 52 14.61 +01 00 29.0          19.2 ro~0Wj3705
f7949K07T23B  C2007 11 15.91761 01 32 47.86 +19 45 48.8          18.7 Rcw9047A24
f7949K07T23B  C2007 11 16.98443 01 28 45.24 +20 12 50.8          18.2 Rcw9047A24
f7949K07T23B  C2007 11 16.98542 01 28 45.14 +20 12 51.7          17.9 Rcw9047A24
f7949K07T23B  C2007 11 17.19289 01 27 59.31 +20 18 04.9          18.9  cw8321704
f7949K07T23B  C2007 11 17.20529 01 27 56.40 +20 18 23.1          19.2  cw8321704
f7949K07T23B  C2007 11 17.21770 01 27 53.54 +20 18 42.3          19.3  cw8321704
f7949K07T23B  C2007 11 17.23011 01 27 50.68 +20 18 59.9          18.9  cw8321704
f7949K07T23B  C2007 11 17.23681 01 27 49.05 +20 19 09.0          17.9 Rrw8321H53
f7949K07T23B  C2007 11 17.24013 01 27 47.92 +20 19 13.0          17.9 Rrw8321H53
f7949K07T23B  C2007 11 17.24164 01 27 47.85 +20 19 16.1          18.8 Rrw8321H53
f7949K07T23B  C2007 11 17.24262 01 27 47.89 +20 19 18.9          18.5  cw8321704
f7949K07T23B  C2007 11 17.24344 01 27 47.50 +20 19 19.5          18.5 Rrw8321H53
f7949K07T23B  C2007 11 17.24513 01 27 47.27 +20 19 20.4          18.5 Rrw8321H53
f7949K07T23B  C2007 11 17.24682 01 27 46.65 +20 19 23.0          18.3 Rrw8321H53
f7949K07T23B  C2007 11 18.28110 01 23 59.50 +20 44 36.2          19.2 Rrw8321H45
f7949K07T23B  C2007 11 18.28314 01 23 59.05 +20 44 39.4          19.3 Rrw8321H45
f7949K07T23B  C2007 11 18.28464 01 23 58.75 +20 44 41.3          19.3 Rrw8321H45
f7949K07T23B  C2007 11 18.28611 01 23 58.31 +20 44 43.5          19.3 Rrw8321H45
f7949K07T23B  C2007 11 18.28756 01 23 58.08 +20 44 45.8          19.3 Rrw8321H45
f7949K07T23B  C2007 11 18.28910 01 23 57.73 +20 44 47.8          19.3 Rrw8321H45
f7949K07T23B  C2007 11 18.88187 01 21 51.11 +20 58 51.3          17.8 Rcw9870A24
f7949K07T23B  C2007 11 30.12222200 48 52.18 +24 43 26.9          19.8 Vow9047H55
f7949K07T23B  C2007 11 30.12634200 48 51.61 +24 43 31.6          20.0 Vow9047H55
f7949K07T23B  C2007 11 30.13021800 48 51.01 +24 43 35.1          19.9 Vow9047H55
f7949K07T23B  C2007 12 26.06283500 20 51.41 +30 40 13.2          20.8 Vox1830H55
f7949K07T23B  C2007 12 26.07390000 20 51.31 +30 40 21.4          20.8 Vox1830H55
f7949K07T23B  C2007 12 26.08417300 20 51.23 +30 40 29.1          20.7 Vox1830H55
f7949K07T23B  C2008 01 25.01325600 39 55.74 +37 17 25.4          21.5 Vox5520H55
f7949K07T23B  C2008 01 25.02716100 39 56.64 +37 17 36.5          21.4 Vox5520H55
f7949K07T23B  C2008 01 25.03503500 39 57.21 +37 17 43.7          21.2 Vox5520H55
f7949K07T23B KC2010 10 08.38473906 26 05.58 +38 54 44.6          22.0 Vr~0NlJH21
f7949K07T23B KC2010 10 08.39909006 26 07.21 +38 55 16.0          22.1 Vr~0NlJH21
f7949K07T23B KC2010 10 08.41457406 26 09.01 +38 55 49.9          21.8 Vr~0NlJH21
f7949K07T23B IC2010 10 10.40630806 30 12.10 +40 09 27.4          22.3 Vr~0NlJH21
f7949K07T23B KC2010 10 10.41835306 30 13.57 +40 09 54.9          22.4 Vr~0NlJH21
f7949K07T23B KC2010 10 10.42421206 30 14.27 +40 10 08.3          22.3 Vr~0NlJH21
f7949K07T23B KC2011 03 23.07881 20 56 46.76 +78 42 24.2          19.6 Vu~0U0EA74
f7949K07T23B KC2011 03 23.11443 20 56 47.77 +78 43 27.1          20.0 Vu~0U0EA74
f7949K07T23B KC2011 03 23.15005 20 56 48.84 +78 44 29.6          19.6 Vu~0U0EA74
f7949K07T23B KC2011 04 09.88834 10 38 16.87 +89 23 39.3          18.7 Rc~0VEgA24
