     K09DB1O* C2009 02 22.33494 12 20 19.70 +07 51 01.9                o~05KN691
     K09DB1O  C2009 03 18.87865 12 06 10.36 +31 09 23.8                c~05Z9127
     K09DB1O  C2009 03 18.88009 12 06 08.59 +31 10 51.8                c~05Z9127
     K09DB1O  C2009 03 18.88150 12 06 06.67 +31 12 17.8                c~05Z9127
     K09DB1O  C2009 03 18.88293 12 06 04.92 +31 13 45.5                c~05Z9127
     K09DB1O  C2009 03 18.88434 12 06 02.93 +31 15 13.5                c~05Z9127
     K09DB1O  C2009 03 18.89163 12 05 57.41 +31 21 56.9          13.4 Cw~05KO970
     K09DB1O  C2009 03 18.94837 12 04 37.12 +32 22 33.7          13.4 Cw~05KO970
     K09DB1O  C2009 03 18.98849 12 03 41.34 +33 11 35.2          13.3 Rr~05KOJ27
     K09DB1O  C2009 03 18.99459 12 03 30.63 +33 18 41.2          13.1 Rr~05KOJ27
     K09DB1O  C2009 03 19.00384 12 03 14.28 +33 29 31.9          12.8 Rr~05KOJ27
     K09DB1O  C2009 03 19.07035812 01 09.28 +34 46 30.4          12.9 Rr~05KOJ95
     K09DB1O  C2009 03 19.07250912 01 05.17 +34 49 13.4          12.9 Rr~05KOJ95
     K09DB1O  C2009 03 19.07471012 01 00.95 +34 52 00.7          12.9 Rr~05KOJ95
     K09DB1O  C2009 03 19.07696412 00 56.62 +34 54 52.7          12.9 Rr~05KOJ95
     K09DB1O 5C2009 03 19.14182912 01 10.35 +36 22 37.3          13.1 Ro~05KO673
     K09DB1O 5C2009 03 19.14463012 01 05.29 +36 26 45.4                o~05KO673
     K09DB1O 5C2009 03 19.14942112 00 56.45 +36 33 54.1                o~05KO673
     K09DB1O 5C2009 03 19.15050912 00 54.40 +36 35 31.8                o~05KO673
     K09DB1O 5C2009 03 19.16041712 00 35.40 +36 50 28.7                o~05KO673
     K09DB1O  n2009 03 19.19980511 58 31.04 +37 50 55.8          12.7 Rr~06NEH25
     K09DB1O  n2009 03 19.19990011 58 30.81 +37 51 04.9          12.5 Rr~06NEH25
     K09DB1O  n2009 03 19.19999511 58 30.58 +37 51 14.4          12.8 Rr~06NEH25
     K09DB1O  n2009 03 19.20006811 58 30.41 +37 51 20.9          12.9 Rr~06NEH25
     K09DB1O  n2009 03 19.20010711 58 30.28 +37 51 24.6          13.2 Rr~06NEH25
     K09DB1O  n2009 03 19.20016311 58 30.16 +37 51 29.8          13.0 Rr~06NEH25
     K09DB1O  n2009 03 19.25263411 56 14.37 +39 16 40.7          12.2 Rr~06NEH25
     K09DB1O  n2009 03 19.25269011 56 14.25 +39 16 46.7          12.4 Rr~06NEH25
     K09DB1O  n2009 03 19.25278511 56 13.96 +39 16 56.0          12.5 Rr~06NEH25
     K09DB1O  n2009 03 19.25285811 56 13.76 +39 17 03.7          12.5 Rr~06NEH25
     K09DB1O  n2009 03 19.25289711 56 13.68 +39 17 07.5          12.0 Rr~06NEH25
     K09DB1O  n2009 03 19.25295311 56 13.49 +39 17 13.4          12.6 Rr~06NEH25
     K09DB1O  C2009 03 19.81053011 03 31.17 +63 44 17.1          12.3 Ro~05KOJ95
     K09DB1O  C2009 03 19.81390711 02 34.33 +63 57 45.9          12.6 Ro~05KOJ95
     K09DB1O  C2009 03 19.83553 10 55 41.98 +65 26 18.5          13.2 Co~05KOB84
     K09DB1O  C2009 03 19.83595 10 55 33.58 +65 28 00.9          12.9 Co~05KOB84
     K09DB1O  C2009 03 19.83648 10 55 23.10 +65 30 08.3          13.4 Co~05KOB84
     K09DB1O  C2009 03 19.83700 10 55 12.53 +65 32 16.6          12.8 Co~05KOB84
     K09DB1O  C2009 03 19.83752 10 55 01.99 +65 34 23.8          13.0 Co~05KOB84
     K09DB1O  C2009 03 19.84164 10 53 37.48 +65 51 09.5          13.1 Co~05KOB84
     K09DB1O  C2009 03 19.84207 10 53 28.73 +65 52 52.3          12.8 Co~05KOB84
     K09DB1O  C2009 03 19.87293 10 41 14.22 +68 00 28.4                c~06Be127
     K09DB1O  C2009 03 19.87337 10 41 02.91 +68 02 14.9                c~06Be127
     K09DB1O  C2009 03 19.87377 10 40 52.31 +68 03 53.5                c~06Be127
     K09DB1O  C2009 03 19.87422 10 40 40.62 +68 05 43.2                c~06Be127
     K09DB1O  C2009 03 19.87468 10 40 28.36 +68 07 37.1                c~06Be127
