     K06R00Z  C2006 09 13.16013 22 21 27.75 +19 16 56.1          17.7 Rrr8702932
     K06R00Z  C2006 09 13.26215 22 21 21.62 +19 18 20.7          17.7 Rrr8702H45
     K06R00Z  C2006 09 13.26328 22 21 21.54 +19 18 21.8          17.7 Rrr8702H45
     K06R00Z  C2006 09 13.26447 22 21 21.45 +19 18 22.9          17.8 Rrr8702H45
     K06R00Z  C2006 09 13.26894 22 21 21.16 +19 18 25.9          17.9 Rrr8702H45
     K06R00Z  C2006 09 13.27036 22 21 21.09 +19 18 27.1          17.8 Rrr8702H45
     K06R00Z  C2006 09 13.27108 22 21 21.03 +19 18 27.6          17.7 Rrr8702H45
     K06R00Z  C2006 09 13.27225 22 21 20.94 +19 18 28.6          17.9 Rrr8702H45
     K06R00Z  C2006 09 13.78367 22 20 56.69 +19 25 01.7          17.8 Vrr8702240
     K06R00Z  C2006 09 13.78514 22 20 56.60 +19 25 02.9          17.9 Vrr8702240
     K06R00Z  C2006 09 13.78660 22 20 56.51 +19 25 04.0          18.0 Vrr8702240
     K06R00Z  C2006 09 13.78758 22 20 56.46 +19 25 05.1          18.0 Vrr8702240
     K06R00Z  C2006 09 13.78905 22 20 56.38 +19 25 06.2          18.0 Vrr8702240
     K06R00Z  C2006 09 13.78954 22 20 56.35 +19 25 06.6          17.9 Vrr8702240
     K06R00Z  C2006 09 13.79200 22 20 56.20 +19 25 08.7          17.9 Vrr8702240
     K06R00Z  C2006 09 13.79347 22 20 56.10 +19 25 10.1          17.9 Vrr8702240
     K06R00Z  C2006 09 13.79494 22 20 56.01 +19 25 11.2          18.1 Vrr8702240
     K06R00Z  C2006 09 13.80120 22 20 55.64 +19 25 17.2          18.5 Vor8702151
     K06R00Z  C2006 09 13.80359 22 20 55.48 +19 25 19.2          18.5 Vor8702151
     K06R00Z  C2006 09 13.80598 22 20 55.32 +19 25 21.2          18.5 Vor8702151
     K06R00Z  C2006 09 13.81081 22 20 54.78 +19 25 21.6          17.8 Ror9471A32
     K06R00Z  C2006 09 13.81865 22 20 54.27 +19 25 30.3          17.6 Ror8702639
