     K09R00N* C2009 09 11.00009 00 43 00.85 -11 25 46.6          17.9 Vr~08yVJ75
     K09R00N  C2009 11 26.39185 06 24 10.44 +14 04 32.1          17.5 Ru~0BiVH45
     K09R00N  C2009 11 26.39288 06 24 10.53 +14 04 33.9          17.7 Ru~0BiVH45
     K09R00N  C2009 11 26.39358 06 24 10.61 +14 04 35.2          17.6 Ru~0BiVH45
     K09R00N  C2009 11 27.76655 06 26 44.17 +14 42 20.5          18.0 Vu~0C9y379
     K09R00N  C2009 11 27.77488 06 26 44.92 +14 42 33.7                u~0C9y379
     K09R00N  C2009 11 27.78322 06 26 45.65 +14 42 47.1                u~0C9y379
     K09R00N  C2009 11 28.03693 06 27 12.80 +14 49 30.5          17.5  o~0GWfC20
     K09R00N  C2009 11 28.24624 06 27 37.69 +14 55 12.9          17.1 Rr~0BiVH10
     K09R00N  C2009 11 28.24806 06 27 37.84 +14 55 15.8          17.0 Rr~0BiVH10
     K09R00N  C2009 11 28.25005 06 27 38.01 +14 55 19.1          17.1 Rr~0BiVH10
     K09R00N  C2009 11 28.35132 06 27 46.06 +14 57 59.3          18.0 Vo~0BiVH21
     K09R00N  C2009 11 28.35547 06 27 46.42 +14 58 06.0          18.2 Vo~0BiVH21
     K09R00N  C2009 11 28.35919 06 27 46.73 +14 58 11.7          18.1 Vo~0BiVH21
     K09R00N  C2009 11 28.36534 06 27 47.27 +14 58 21.6          18.3 Vo~0BiVH21
     K09R00N  C2009 11 28.38236 06 27 48.94 +14 58 51.9          17.9 Ru~0BiVH45
     K09R00N  C2009 11 28.38383 06 27 49.04 +14 58 54.5          17.8 Ru~0BiVH45
     K09R00N  C2009 11 28.38505 06 27 49.16 +14 58 56.3          17.8 Ru~0BiVH45
     K09R00N  C2009 11 28.38630 06 27 49.28 +14 58 58.2          17.7 Ru~0BiVH45
     K09R00N  C2009 11 28.38767 06 27 49.39 +14 59 00.0          17.8 Ru~0BiVH45
     K09R00N  C2009 11 28.38872 06 27 49.48 +14 59 02.1          17.7 Ru~0BiVH45
     K09R00N  C2009 11 28.96365 06 28 47.86 +15 14 08.0          17.5  o~0GWfC20
     K09R00N  C2009 12 04.32335306 35 57.55 +17 25 48.4          17.9 Vo~0C9yH21
     K09R00N  C2009 12 04.32745406 35 57.72 +17 25 53.5          18.4 Vo~0C9yH21
     K09R00N  C2009 12 04.33098806 35 57.88 +17 25 58.3          18.3 Vo~0C9yH21
     K09R00N  C2009 12 05.34941 06 36 59.18 +17 48 59.1          18.3 Vo~0C9yH21
     K09R00N  C2009 12 05.35240 06 36 59.31 +17 49 03.2          18.3 Vo~0C9yH21
     K09R00N  C2009 12 05.35540 06 36 59.45 +17 49 07.1          18.3 Vo~0C9yH21
