i0904K06V00A* C2006 11 01.19457 02 28 56.38 +22 48 18.1          20.5 Vrs5835G96
i0904K06V00A  C2015 08 15.39149 23 44 05.93 +08 01 21.7          19.6 rR~1WVaG45
i0904K06V00A  C2015 08 15.39155 23 44 05.93 +08 01 21.9          19.5 rR~1WVaG45
i0904K06V00A  C2015 08 15.39657 23 44 05.87 +08 01 24.3          19.6 rR~1WVaG45
i0904K06V00A  C2015 08 15.39664 23 44 05.87 +08 01 24.3          19.4 rR~1WVaG45
i0904K06V00A  C2015 08 15.40705 23 44 05.71 +08 01 28.7          19.1 rR~1WVaG45
i0904K06V00A  C2015 08 15.40712 23 44 05.70 +08 01 29.1          19.2 rR~1WVaG45
i0904K06V00A  C2015 08 20.28078 23 42 59.45 +08 33 24.5                q~1VxU703
i0904K06V00A  C2015 08 20.28680 23 42 59.28 +08 33 27.8          19.0 Vq~1VxU703
i0904K06V00A  C2015 08 20.29280 23 42 59.13 +08 33 30.3          19.0 Vq~1VxU703
i0904K06V00A  C2015 08 20.29880 23 42 58.95 +08 33 31.6          18.9 Vq~1VxU703
i0904K06V00A  C2015 08 23.67818 23 41 37.90 +08 49 12.5          19.3 Rq~1WVaD29
i0904K06V00A  C2015 08 23.69317 23 41 37.40 +08 49 16.0          18.3 Rq~1WVaD29
i0904K06V00A  C2015 08 23.70816 23 41 36.96 +08 49 19.0          18.5 Rq~1WVaD29
