     K07V12D  C2007 11 17.18373 05 44 43.10 -13 00 46.3                cw9161I09
     K07V12D  C2007 11 17.18658 05 44 43.47 -13 00 36.7                cw9161I09
     K07V12D  C2007 11 17.18941 05 44 43.82 -13 00 27.2                cw9161I09
     K07V12D  C2007 11 17.19224 05 44 44.22 -13 00 17.1                cw9161I09
     K07V12D  C2007 11 17.19507 05 44 44.59 -13 00 07.5                cw9161I09
     K07V12D  C2007 11 17.19791 05 44 44.95 -12 59 57.8                cw9161I09
     K07V12D  C2007 11 17.20074 05 44 45.33 -12 59 48.0                cw9161I09
     K07V12D  C2007 11 17.20358 05 44 45.71 -12 59 38.2                cw9161I09
     K07V12D  C2007 11 17.20641 05 44 46.08 -12 59 28.5                cw9161I09
     K07V12D  C2007 11 17.20925 05 44 46.44 -12 59 18.7                cw9161I09
     K07V12D  C2007 11 17.64192 05 46 01.00 -12 34 20.1          16.1 Vrw8361379
     K07V12D  C2007 11 17.64483 05 46 01.45 -12 34 08.6          16.6 Vrw8361379
     K07V12D  C2007 11 17.65149 05 46 02.41 -12 33 42.9          16.1 Vrw8361379
     K07V12D  C2007 11 17.65441 05 46 02.85 -12 33 31.9          16.3 Vrw8361379
     K07V12D  C2007 11 17.66530 05 46 04.39 -12 32 49.3          16.2 Vrw8361379
     K07V12D  C2007 11 17.66822 05 46 04.83 -12 32 38.2          16.0 Vrw8361379
     K07V12D  C2007 11 17.67113 05 46 05.23 -12 32 27.2          16.1 Vrw8361379
     K07V12D  C2007 11 18.63625 05 49 21.38 -11 20 59.3          15.8 Vrw8361379
     K07V12D  C2007 11 18.63884 05 49 21.86 -11 20 46.2          15.8 Vrw8361379
     K07V12D  C2007 11 18.64144 05 49 22.33 -11 20 33.2          15.6 Vrw8361379
     K07V12D  C2007 11 18.64704 05 49 23.40 -11 20 05.1          16.3 Vrw8361379
     K07V12D  C2007 11 18.64963 05 49 23.85 -11 19 52.4          16.0 Vrw8361379
     K07V12D  C2007 11 18.65222 05 49 24.36 -11 19 39.2          16.0 Vrw8361379
     K07V12D  C2007 11 18.66051 05 49 25.82 -11 18 57.8          16.5 Vrw8361379
     K07V12D  C2007 11 19.64451 05 53 36.58 -09 43 17.8          15.2 Vrw9161379
     K07V12D  C2007 11 19.64675 05 53 37.08 -09 43 02.8          15.2 Vrw9161379
     K07V12D  C2007 11 19.64897 05 53 37.62 -09 42 48.2          15.2 Vrw9161379
     K07V12D  C2007 11 19.65163 05 53 38.25 -09 42 30.5          14.9 Vrw9161379
     K07V12D  C2007 11 19.65608 05 53 39.33 -09 42 00.9          15.1 Vrw9161379
     K07V12D  C2007 11 19.65719 05 53 39.60 -09 41 53.6          15.2 Vrw9161379
     K07V12D  C2007 11 19.65830 05 53 39.88 -09 41 45.7          15.3 Vrw9161379
     K07V12D  C2007 11 20.25395 05 56 48.61 -08 28 13.9          15.0 Rrw9161H45
     K07V12D  C2007 11 20.25461 05 56 48.80 -08 28 08.7          15.0 Rrw9161H45
     K07V12D  C2007 11 20.25556 05 56 49.08 -08 28 01.1          15.0 Rrw9161H45
     K07V12D  C2007 11 20.25591 05 56 49.19 -08 27 58.0          15.0 Rrw9161H45
     K07V12D  C2007 11 20.25694 05 56 49.49 -08 27 49.8          15.0 Rrw9161H45
     K07V12D  C2007 11 20.25747 05 56 49.65 -08 27 45.6          15.0 Rrw9161H45
     K07V12D  C2007 11 20.25836 05 56 49.91 -08 27 38.3          15.0 Rrw9161H45
     K07V12D  C2007 11 20.25909 05 56 50.13 -08 27 32.5          15.0 Rrw9161H45
     K07V12D  C2007 11 20.25980 05 56 50.34 -08 27 26.5          15.1 Rrw9161H45
     K07V12D  C2007 11 20.26044 05 56 50.53 -08 27 21.3          15.1 Rrw9161H45
     K07V12D  C2007 11 20.26113 05 56 50.73 -08 27 15.8          15.1 Rrw9161H45
     K07V12D  C2007 11 20.36661 05 57 24.48 -08 12 37.9          15.4 Vrw9161703
     K07V12D  C2007 11 20.37309 05 57 26.42 -08 11 43.4          15.2 Vrw9161703
     K07V12D  C2007 11 20.37956 05 57 28.33 -08 10 48.6          15.3 Vrw9161703
     K07V12D  C2007 11 20.38602 05 57 30.24 -08 09 53.9          15.2 Vrw9161703
     K07V12D  C2007 11 21.61972 06 06 31.84 -04 30 59.3          15.0 Vrw9161379
     K07V12D  C2007 11 21.62627 06 06 34.94 -04 29 31.8          14.9 Vrw9161379
     K07V12D  C2007 11 21.62755 06 06 35.54 -04 29 14.9          15.2 Vrw9161379
     K07V12D  C2007 11 21.65353 06 06 47.98 -04 23 27.2          15.0 Vrw9161379
     K07V12D  C2007 11 23.58804 06 34 27.56 +07 09 57.5          14.1 Vrw9161379
     K07V12D  C2007 11 23.58868 06 34 28.35 +07 10 18.7          13.7 Vrw9161379
     K07V12D  C2007 11 23.59186 06 34 32.41 +07 12 06.1          13.6 Vrw9161379
