     K08S82H* C2008 09 26.21299 21 58 45.98 +05 04 54.4          20.6 Vrz8163G96
     K08S82H  C2008 11 17.06970 21 49 25.11 +04 52 28.0          19.9 Rr~01NZH45
     K08S82H  C2008 11 17.07137 21 49 25.24 +04 52 28.8          19.9 Rr~01NZH45
     K08S82H  C2008 11 17.07426 21 49 25.48 +04 52 29.5          19.9 Rr~01NZH45
     K08S82H  C2008 11 25.03200 22 07 46.45 +05 54 11.1          19.8 Vo~01gZH55
     K08S82H  C2008 11 25.03555 22 07 47.04 +05 54 12.5          19.8 Vo~01gZH55
     K08S82H  C2008 11 25.03945 22 07 47.69 +05 54 15.0          19.7 Vo~01gZH55
     K08S82H  C2008 11 27.07413 22 14 03.41 +06 15 30.7          20.0 Rr~01gZH45
     K08S82H  C2008 11 27.07694 22 14 03.91 +06 15 31.5          19.9 Rr~01gZH45
     K08S82H  C2008 11 27.07846 22 14 04.21 +06 15 32.5          20.0 Rr~01gZH45
     K08S82H  C2008 11 27.07994 22 14 04.49 +06 15 33.5          20.1 Rr~01gZH45
     K08S82H  C2008 11 27.08145 22 14 04.75 +06 15 34.3          19.9 Rr~01gZH45
     K08S82H  C2008 11 27.08288 22 14 05.00 +06 15 35.4          20.0 Rr~01gZH45
     K08S82H  C2008 12 10.12433 23 22 50.64 +09 54 01.7          19.1 Rr~02Mq448
     K08S82H  C2008 12 10.13256 23 22 54.55 +09 54 14.2          19.0 Rr~02Mq448
     K08S82H  C2008 12 10.13899 23 22 57.38 +09 54 21.1          18.4 Rr~02Mq448
     K08S82H  C2008 12 13.06543523 50 05.97 +11 08 20.8          19.3 Vo~02MqH55
     K08S82H  C2008 12 13.06698523 50 06.86 +11 08 23.2          19.1 Vo~02MqH55
     K08S82H  C2008 12 13.06862123 50 07.86 +11 08 25.9          19.1 Vo~02MqH55
     K08S82H  C2008 12 13.07043923 50 08.94 +11 08 28.8          19.1 Vo~02MqH55
     K08S82H  C2008 12 13.07225723 50 10.03 +11 08 31.6          19.0 Vo~02MqH55
     K08S82H  C2008 12 13.07435023 50 11.27 +11 08 34.9          19.2 Vo~02MqH55
     K08S82H  C2008 12 19.75963 01 20 27.17 +14 07 11.9          18.3 Rr~02Q1130
     K08S82H  C2008 12 19.76389 01 20 31.32 +14 07 17.7          18.5 Rr~02Q1130
     K08S82H  C2008 12 19.76614 01 20 33.46 +14 07 21.0          18.3 Rr~02Q1130
     K08S82H  C2008 12 20.73283 01 37 03.56 +14 27 35.4          17.9 Vo~02Q1A78
     K08S82H  C2008 12 20.73805 01 37 08.82 +14 27 41.0          17.8 Vo~02Q1A78
     K08S82H  C2008 12 20.74311 01 37 13.98 +14 27 47.5          17.7 Vo~02Q1A78
     K08S82H  C2008 12 20.74594 01 37 16.84 +14 27 51.8          17.8 Vo~02Q1A78
     K08S82H  C2008 12 21.20825 01 45 20.05 +14 36 37.3          17.7 Vr~02Q1703
     K08S82H  C2008 12 21.21611 01 45 28.08 +14 36 44.7          17.6 Vr~02Q1703
     K08S82H  C2008 12 21.22405 01 45 36.28 +14 36 52.5          17.6 Vr~02Q1703
     K08S82H  C2008 12 21.23185 01 45 44.31 +14 37 00.1          17.5 Vr~02Q1703
     K08S82H  C2008 12 21.75231 01 55 09.84 +14 45 04.6          17.8 Vc~02Q1560
     K08S82H  C2008 12 21.75298 01 55 10.56 +14 45 05.5          17.7 Vc~02Q1560
     K08S82H  C2008 12 21.75381 01 55 11.45 +14 45 06.7          17.8 Vc~02Q1560
     K08S82H  C2008 12 22.13768 02 02 07.92 +14 50 55.3          17.9  c~02Q1704
     K08S82H  C2008 12 22.15050 02 02 21.41 +14 51 05.3          18.3  c~02Q1704
     K08S82H  C2008 12 22.16343 02 02 35.06 +14 51 15.4          18.1  c~02Q1704
     K08S82H  C2008 12 22.17615 02 02 48.48 +14 51 24.7          18.1  c~02Q1704
     K08S82H  C2008 12 22.18904 02 03 02.07 +14 51 33.5          18.1  c~02Q1704
     K08S82H  C2008 12 25.08832 02 57 04.85 +15 07 49.9          17.7 Rr~02Q1H45
     K08S82H  C2008 12 25.08967 02 57 06.27 +15 07 49.9          17.7 Rr~02Q1H45
     K08S82H  C2008 12 25.09056 02 57 07.24 +15 07 49.9          17.7 Rr~02Q1H45
     K08S82H  C2008 12 25.09138 02 57 08.07 +15 07 49.8          17.9 Rr~02Q1H45
     K08S82H  C2008 12 25.09199 02 57 08.78 +15 07 49.6          17.5 Rr~02Q1H45
     K08S82H  C2008 12 25.09284 02 57 09.66 +15 07 49.6          17.5 Rr~02Q1H45
     K08S82H  C2008 12 25.09631 02 57 13.40 +15 07 49.4          17.6 Rr~02Q1H45
     K08S82H  C2008 12 25.09804 02 57 15.27 +15 07 49.4          17.5 Rr~02Q1H45
     K08S82H  C2008 12 25.81779 03 10 33.88 +15 04 40.8                v~02fj204
     K08S82H  C2008 12 25.81856 03 10 34.69 +15 04 40.5          16.6 Rv~02fj204
     K08S82H  C2008 12 25.81932 03 10 35.49 +15 04 40.4                v~02fj204
     K08S82H  C2008 12 25.82038 03 10 36.63 +15 04 39.8                v~02fj204
     K08S82H  C2008 12 26.50281 03 23 00.56 +15 00 00.0          17.5 Vr~02fj379
     K08S82H  C2008 12 26.54016 03 23 39.44 +14 59 39.0                r~02fj379
     K08S82H  C2008 12 26.55682 03 23 56.70 +14 59 29.4                r~02fj379
     K08S82H  C2008 12 26.76603 03 27 47.37 +14 57 02.7          17.5 Vo~02fj151
     K08S82H  C2008 12 26.76662 03 27 48.01 +14 57 03.0          17.5 Vo~02fj151
     K08S82H  C2008 12 26.76721 03 27 48.63 +14 57 03.2          17.5 Vo~02fj151
     K08S82H  C2008 12 26.76780 03 27 49.18 +14 57 03.1          17.5 Vo~02fj151
     K08S82H  C2008 12 26.76838 03 27 49.75 +14 57 02.9          17.5 Vo~02fj151
     K08S82H  C2008 12 26.76897 03 27 50.39 +14 57 02.4          17.4 Vo~02fj151
     K08S82H  C2008 12 26.76956 03 27 51.03 +14 57 01.6          17.5 Vo~02fj151
     K08S82H  C2008 12 26.82310 03 28 46.55 +14 56 34.7          17.7 Rc~02fjA53
     K08S82H  C2008 12 26.82617 03 28 49.74 +14 56 33.6          17.1 Rc~02fjA53
     K08S82H  C2008 12 26.82925 03 28 52.89 +14 56 31.7          17.5 Rc~02fjA53
     K08S82H  C2008 12 26.83228 03 28 56.01 +14 56 30.0          17.3 Rc~02fjA53
     K08S82H  C2008 12 26.83532 03 28 59.21 +14 56 27.4          17.1 Rc~02fjA53
     K08S82H  C2008 12 26.86322 03 29 27.96 +14 56 09.8          17.3 Vc~02fjA48
     K08S82H  C2008 12 26.86446 03 29 29.27 +14 56 09.4          17.3 Vc~02fjA48
     K08S82H  C2008 12 26.86569 03 29 30.53 +14 56 08.7          17.4 Vc~02fjA48
     K08S82H  C2008 12 26.86694 03 29 31.82 +14 56 08.1          17.3 Vc~02fjA48
     K08S82H  C2008 12 27.58264 03 42 03.66 +14 47 49.1          17.7 Vr~02fj379
     K08S82H  C2008 12 27.64339 03 43 04.73 +14 46 53.6                r~02fj379
     K08S82H  C2008 12 27.65822 03 43 19.68 +14 46 39.6                r~02fj379
     K08S82H  C2008 12 28.76064 04 01 59.78 +14 29 09.7          16.7 Rr~02fj113
     K08S82H  C2008 12 28.76146 04 02 00.62 +14 29 09.1          16.7 Rr~02fj113
     K08S82H  C2008 12 28.76229 04 02 01.40 +14 29 08.3          17.2 Rr~02fj113
     K08S82H  C2008 12 28.76310 04 02 02.14 +14 29 07.4          17.1 Rr~02fj113
     K08S82H  C2008 12 28.76391 04 02 02.94 +14 29 06.7          16.9 Rr~02fj113
     K08S82H  C2008 12 28.76473 04 02 03.72 +14 29 06.1          17.1 Rr~02fj113
     K08S82H  C2008 12 28.76555 04 02 04.52 +14 29 05.3          16.9 Rr~02fj113
     K08S82H  C2008 12 28.76636 04 02 05.29 +14 29 04.1          17.1 Rr~02fj113
     K08S82H  C2008 12 28.76717 04 02 06.05 +14 29 03.7          17.1 Rr~02fj113
     K08S82H  C2008 12 28.76800 04 02 06.85 +14 29 02.8          17.0 Rr~02fj113
     K08S82H  C2008 12 28.76881 04 02 07.63 +14 29 01.9          17.1 Rr~02fj113
     K08S82H  C2008 12 28.76962 04 02 08.41 +14 29 01.2          17.0 Rr~02fj113
     K08S82H  C2008 12 29.17041 04 08 33.03 +14 22 14.9          17.4 Vo~02fjH55
     K08S82H  C2008 12 29.17267 04 08 35.10 +14 22 12.4          17.5 Vo~02fjH55
     K08S82H  C2008 12 29.17466 04 08 36.94 +14 22 10.1          17.5 Vo~02fjH55
     K08S82H  C2008 12 29.25310 04 09 49.49 +14 20 47.7          17.2 Rr~02fjH45
     K08S82H  C2008 12 29.25457 04 09 50.85 +14 20 46.2          17.2 Rr~02fjH45
     K08S82H  C2008 12 29.25538 04 09 51.59 +14 20 45.0          16.9 Rr~02fjH45
     K08S82H  C2008 12 29.25625 04 09 52.40 +14 20 44.0          17.1 Rr~02fjH45
     K08S82H  C2008 12 29.25705 04 09 53.13 +14 20 43.1          17.0 Rr~02fjH45
     K08S82H  C2008 12 29.25766 04 09 53.69 +14 20 42.4          17.0 Rr~02fjH45
     K08S82H  C2008 12 29.25840 04 09 54.37 +14 20 41.4          17.0 Rr~02fjH45
     K08S82H  C2008 12 29.25944 04 09 55.34 +14 20 40.2          16.9 Rr~02fjH45
     K08S82H  C2008 12 29.26043 04 09 56.24 +14 20 39.0          17.1 Rr~02fjH45
     K08S82H  C2008 12 29.65220 04 16 04.26 +14 13 11.4          17.5 Vr~02fj379
     K08S82H  C2008 12 29.65405 04 16 05.98 +14 13 09.5          17.3 Vr~02fj379
     K08S82H  C2008 12 29.66236 04 16 13.44 +14 12 58.6          17.7 Vr~02fj379
     K08S82H  C2008 12 29.82916 04 18 54.19 +14 09 22.8                c~03Ji127
     K08S82H  C2008 12 29.83155 04 18 56.37 +14 09 20.2                c~03Ji127
     K08S82H  C2008 12 29.83392 04 18 58.46 +14 09 17.5                c~03Ji127
     K08S82H  C2008 12 29.86461 04 19 25.54 +14 08 50.3          17.9 Vc~02fj560
     K08S82H  C2008 12 29.86528 04 19 26.13 +14 08 49.8          17.8 Vc~02fj560
     K08S82H  C2008 12 29.86595 04 19 26.71 +14 08 49.5          17.8 Vc~02fj560
     K08S82H  C2008 12 30.09273 04 22 55.16 +14 04 25.9          18.5 Vo~02fjH55
     K08S82H  C2008 12 30.09468 04 22 56.87 +14 04 23.5          18.6 Vo~02fjH55
     K08S82H  C2008 12 30.09748 04 22 59.31 +14 04 20.3          18.6 Vo~02fjH55
     K08S82H  C2008 12 30.09925 04 23 00.85 +14 04 18.2          18.5 Vo~02fjH55
     K08S82H  C2008 12 30.22230 04 24 47.74 +14 01 55.5          17.5 Rr~02fjH45
     K08S82H  C2008 12 30.22374 04 24 48.97 +14 01 53.9          17.5 Rr~02fjH45
     K08S82H  C2008 12 30.22445 04 24 49.57 +14 01 53.0          17.6 Rr~02fjH45
     K08S82H  C2008 12 30.22534 04 24 50.35 +14 01 51.8          17.4 Rr~02fjH45
     K08S82H  C2008 12 30.22609 04 24 51.02 +14 01 50.9          17.5 Rr~02fjH45
     K08S82H  C2008 12 30.22680 04 24 51.64 +14 01 50.2          17.6 Rr~02fjH45
     K08S82H  C2008 12 30.22806 04 24 52.73 +14 01 48.4          17.4 Rr~02fjH45
     K08S82H  C2008 12 30.80603 04 33 25.38 +13 49 21.9          17.1 Rr~02fj113
     K08S82H  C2008 12 30.80649 04 33 25.59 +13 49 21.2          17.7 Rr~02fj113
     K08S82H  C2008 12 30.80697 04 33 26.10 +13 49 19.8          17.2 Rr~02fj113
     K08S82H  C2008 12 30.80743 04 33 26.46 +13 49 20.5          17.0 Rr~02fj113
     K08S82H  C2008 12 30.80791 04 33 26.85 +13 49 19.8          17.4 Rr~02fj113
     K08S82H  C2008 12 30.80837 04 33 27.26 +13 49 18.7          17.3 Rr~02fj113
     K08S82H  C2008 12 30.83659 04 33 51.16 +13 48 54.1          17.2 Cw~02fj160
     K08S82H  C2008 12 30.83949 04 33 53.57 +13 48 50.2          17.4 Cw~02fj160
     K08S82H  C2008 12 30.84234 04 33 55.92 +13 48 46.9          17.2 Cw~02fj160
     K08S82H  C2008 12 30.84394 04 33 57.23 +13 48 45.1          17.0 Cw~02fj160
     K08S82H  C2008 12 30.84573 04 33 58.72 +13 48 43.0          16.9 Cw~02fj160
     K08S82H  C2008 12 31.28069 04 40 02.27 +13 39 34.2          17.0 Rr~02fjH45
     K08S82H  C2008 12 31.28353 04 40 04.59 +13 39 30.1          16.8 Rr~02fjH45
     K08S82H  C2008 12 31.28426 04 40 05.16 +13 39 28.9          17.1 Rr~02fjH45
     K08S82H  C2008 12 31.28584 04 40 06.45 +13 39 26.7          16.8 Rr~02fjH45
     K08S82H  C2008 12 31.28676 04 40 07.18 +13 39 25.4          17.2 Rr~02fjH45
     K08S82H  C2008 12 31.28759 04 40 07.84 +13 39 24.5          17.0 Rr~02fjH45
     K08S82H  C2008 12 31.53384 04 43 35.07 +13 34 09.2          17.6 Vr~02fj379
     K08S82H  C2008 12 31.53569 04 43 36.54 +13 34 06.6          17.1 Vr~02fj379
     K08S82H  C2008 12 31.53755 04 43 38.00 +13 34 04.2          17.2 Vr~02fj379
     K08S82H  C2008 12 31.57016 04 44 03.50 +13 33 20.9          17.6 Vr~02fj379
     K08S82H  C2008 12 31.57201 04 44 04.92 +13 33 18.3          17.6 Vr~02fj379
     K08S82H  C2008 12 31.57387 04 44 06.37 +13 33 16.1          17.6 Vr~02fj379
     K08S82H  C2008 12 31.57990 04 44 11.09 +13 33 07.9          17.4 Vr~02fj379
