Z4876K06B55G* C2006 01 26.39286 10 43 25.46 +09 38 01.7          21.6 Vrq1944G96
Z4876K06B55G  C2008 03 25.32007 12 37 52.21 +24 37 06.9          18.5 Rry4047H45
Z4876K06B55G  C2008 03 25.32122 12 37 52.01 +24 37 10.7          18.5 Rry4047H45
Z4876K06B55G  C2008 03 25.96185 12 36 29.43 +25 07 20.2          18.0 Rry4047130
Z4876K06B55G  C2008 03 25.96403 12 36 29.11 +25 07 26.4          18.3 Rry4047130
Z4876K06B55G  C2008 03 25.96553 12 36 28.91 +25 07 30.3          18.4 Rry4047130
Z4876K06B55G  C2008 03 25.96704 12 36 28.66 +25 07 34.5          18.2 Rry4047130
Z4876K06B55G  C2008 03 28.25704 12 31 11.11 +26 57 29.1          18.8 Rry4047H51
Z4876K06B55G  C2008 03 28.25813 12 31 10.93 +26 57 32.7          18.6 Rry4047H51
Z4876K06B55G  C2008 03 28.25917 12 31 10.78 +26 57 35.1          18.6 Rry4047H51
Z4876K06B55G  C2008 03 28.26022 12 31 10.62 +26 57 38.5          18.6 Rry4047H51
Z4876K06B55G  C2008 03 28.26127 12 31 10.46 +26 57 41.7          18.9 Rry4047H51
Z4876K06B55G  C2008 03 28.26233 12 31 10.30 +26 57 44.8          18.7 Rry4047H51
Z4876K06B55G  C2008 03 28.26337 12 31 10.15 +26 57 47.7          18.5 Rry4047H51
Z4876K06B55G  C2008 03 28.26442 12 31 09.99 +26 57 50.6          18.7 Rry4047H51
Z4876K06B55G  C2008 03 28.26547 12 31 09.83 +26 57 53.7          18.5 Rry4047H51
Z4876K06B55G  C2008 03 28.26653 12 31 09.66 +26 57 57.2          18.7 Rry4047H51
Z4876K06B55G  C2008 03 28.26758 12 31 09.51 +26 58 00.3          18.9 Rry4047H51
Z4876K06B55G  C2008 03 28.26863 12 31 09.32 +26 58 03.4          18.8 Rry4047H51
Z4876K06B55G  C2008 03 28.26969 12 31 09.17 +26 58 05.8          18.8 Rry4047H51
Z4876K06B55G  C2008 03 28.27074 12 31 09.00 +26 58 09.3          18.6 Rry4047H51
Z4876K06B55G  C2008 03 28.27179 12 31 08.84 +26 58 12.8          18.9 Rry4047H51
Z4876K06B55G  C2008 03 28.27285 12 31 08.71 +26 58 15.3          18.7 Rry4047H51
Z4876K06B55G  C2008 03 28.27390 12 31 08.54 +26 58 18.5          18.7 Rry4047H51
Z4876K06B55G  C2008 03 28.27495 12 31 08.40 +26 58 21.8          18.9 Rry4047H51
Z4876K06B55G  C2008 03 28.27600 12 31 08.22 +26 58 24.4          18.6 Rry4047H51
Z4876K06B55G  C2008 03 28.27705 12 31 08.08 +26 58 27.5          18.6 Rry4047H51
Z4876K06B55G  C2008 03 30.87201 12 24 29.54 +29 05 47.0          17.7 Rry4734106
Z4876K06B55G  C2008 03 30.88163 12 24 27.91 +29 06 15.9          17.8 Rry4734106
Z4876K06B55G  C2008 03 30.89123 12 24 26.29 +29 06 44.5          17.7 Rry4734106
Z4876K06B55G  C2008 03 30.90085 12 24 24.68 +29 07 13.2          17.8 Rry4734106
Z4876K06B55G  C2008 04 01.36871 12 20 18.60 +30 20 14.5          18.4 Vry4734703
Z4876K06B55G  C2008 04 01.37734 12 20 17.01 +30 20 39.7          18.4 Vry4734703
Z4876K06B55G  C2008 04 01.38601 12 20 15.46 +30 21 05.6          18.1 Vry4734703
Z4876K06B55G  C2008 04 01.39470 12 20 13.99 +30 21 31.2          18.1 Vry4734703
Z4876K06B55G  C2008 04 01.85680 12 18 55.35 +30 44 29.0          18.5 Vcy4734A48
Z4876K06B55G  C2008 04 01.86041 12 18 54.68 +30 44 40.9          18.5 Vcy4734A48
Z4876K06B55G  C2008 04 01.86402 12 18 54.06 +30 44 50.9          18.4 Vcy4734A48
Z4876K06B55G  C2008 04 01.93712 12 18 41.34 +30 48 35.4          17.9 Rry4734J51
Z4876K06B55G  C2008 04 01.94822 12 18 39.31 +30 49 08.5          18.0 Rry4734J51
Z4876K06B55G  C2008 04 01.95862 12 18 37.42 +30 49 39.4          18.0 Rry4734J51
Z4876K06B55G  C2008 04 03.98166 12 12 28.51 +32 30 34.1                oy5779204
Z4876K06B55G  C2008 04 03.98551 12 12 27.75 +32 30 45.7          18.0 Roy5779204
Z4876K06B55G  C2008 04 03.98936 12 12 27.02 +32 30 56.9                oy5779204
Z4876K06B55G  C2008 04 06.32809 12 04 47.90 +34 27 15.9          18.3 Rry5779H45
Z4876K06B55G  C2008 04 06.32911 12 04 47.72 +34 27 19.1          18.4 Rry5779H45
Z4876K06B55G  C2008 04 06.33058 12 04 47.42 +34 27 22.8          18.3 Rry5779H45
Z4876K06B55G  C2008 04 06.33978 12 04 45.50 +34 27 50.1          18.4 Rry5779H45
Z4876K06B55G  C2008 04 06.34191 12 04 45.06 +34 27 56.6          18.4 Rry5779H45
Z4876K06B55G  C2008 04 07.17445 12 01 54.67 +35 09 02.6          18.5 Rry5779H45
Z4876K06B55G  C2008 04 07.17542 12 01 54.44 +35 09 05.5          18.6 Rry5779H45
Z4876K06B55G  C2008 04 07.17631 12 01 54.25 +35 09 08.1          18.5 Rry5779H45
Z4876K06B55G  C2008 04 07.17774 12 01 53.94 +35 09 12.4          18.5 Rry5779H45
Z4876K06B55G  C2008 04 07.17858 12 01 53.78 +35 09 14.8          18.5 Rry5779H45
Z4876K06B55G  C2008 04 08.15363 11 58 27.23 +35 57 01.1          18.0 Rry5779H45
Z4876K06B55G  C2008 04 08.15504 11 58 26.92 +35 57 05.5          18.0 Rry5779H45
Z4876K06B55G  C2008 04 08.15764 11 58 26.33 +35 57 13.0          18.0 Rry5779H45
Z4876K06B55G  C2008 04 08.15869 11 58 26.10 +35 57 16.2          17.9 Rry5779H45
Z4876K06B55G  C2008 04 08.15966 11 58 25.92 +35 57 19.0          17.9 Rry5779H45
Z4876K06B55G  C2008 04 11.31022 11 46 36.03 +38 28 27.1          18.3 Rry5779H45
Z4876K06B55G  C2008 04 11.31126 11 46 35.82 +38 28 29.7          18.6 Rry5779H45
Z4876K06B55G  C2008 04 11.31201 11 46 35.62 +38 28 31.8          18.6 Rry5779H45
Z4876K06B55G  C2008 04 11.31285 11 46 35.43 +38 28 33.9          18.5 Rry5779H45
Z4876K06B55G  C2008 04 12.17950 11 43 11.64 +39 09 08.3          18.3 Vry6785703
Z4876K06B55G  C2008 04 12.18707 11 43 09.76 +39 09 29.0          18.5 Vry6785703
Z4876K06B55G  C2008 04 12.19464 11 43 07.82 +39 09 50.7          18.5 Vry6785703
Z4876K06B55G  C2008 04 12.20223 11 43 05.95 +39 10 11.9          18.4 Vry6785703
Z4876K06B55G  C2008 04 13.23903 11 38 53.76 +39 57 55.6          18.4  cy6785704
Z4876K06B55G  C2008 04 13.25012 11 38 50.90 +39 58 25.6          18.4  cy6785704
Z4876K06B55G  C2008 04 13.26104 11 38 48.13 +39 58 55.2          18.2  cy6785704
Z4876K06B55G  C2008 04 13.27198 11 38 45.39 +39 59 24.9          18.5  cy6785704
Z4876K06B55G  C2008 04 13.28289 11 38 42.57 +39 59 54.7          18.7  cy6785704
Z4876K06B55G  C2008 04 19.84368 11 09 48.18 +44 39 28.0          18.4 Rcy8174A53
Z4876K06B55G  C2008 04 19.85454 11 09 44.93 +44 39 54.6          18.2 Rcy8174A53
Z4876K06B55G  C2008 04 19.86515 11 09 41.91 +44 40 19.5          18.2 Rcy8174A53
Z4876K06B55G  C2008 04 19.89812 11 09 32.31 +44 41 36.7          18.6 Vcy7763A48
Z4876K06B55G  C2008 04 19.90310 11 09 30.83 +44 41 48.2          18.5 Vcy7763A48
Z4876K06B55G  C2008 04 19.90808 11 09 29.41 +44 42 00.4          18.5 Vcy7763A48
Z4876K06B55G  C2008 04 19.91306 11 09 27.93 +44 42 11.3          18.6 Vcy7763A48
Z4876K06B55G  C2008 05 03.17586 09 59 37.35 +51 43 56.2          18.7 Rry8996H45
Z4876K06B55G  C2008 05 03.17770 09 59 36.68 +51 43 58.6          18.7 Rry8996H45
Z4876K06B55G  C2008 05 03.17894 09 59 36.27 +51 44 00.6          18.6 Rry8996H45
Z4876K06B55G  C2008 05 03.18086 09 59 35.57 +51 44 03.1          18.7 Rry8996H45
Z4876K06B55G  C2008 05 03.18225 09 59 35.11 +51 44 04.8          18.7 Rry8996H45
Z4876K06B55G  C2013 02 03.36254 09 27 20.825+13 37 10.92         21.1 wL~0oOFF51
Z4876K06B55G  C2013 02 03.37726 09 27 19.330+13 37 21.48         21.1 wL~0oOFF51
Z4876K06B55G  C2013 02 03.39186 09 27 17.850+13 37 32.17         21.1 wL~0oOFF51
Z4876K06B55G  C2013 02 14.23870 09 08 59.10 +15 48 11.7          20.8 Vr~0oOFG96
Z4876K06B55G  C2013 02 14.24551 09 08 58.38 +15 48 16.4          21.5 Vr~0oOFG96
Z4876K06B55G  C2013 02 14.25227 09 08 57.73 +15 48 21.5          21.6 Vr~0oOFG96
Z4876K06B55G  C2013 02 14.25904 09 08 56.97 +15 48 25.8          21.1 Vr~0oOFG96
