     K09L00S* C2009 06 12.39072 17 10 38.28 -04 23 36.6          18.4 Vr~07TD703
     K09L00S  C2009 07 10.16870 16 07 03.58 +11 38 22.8          19.8 Vo~07fNH55
     K09L00S  C2009 07 11.14662 16 05 45.87 +11 57 31.1          19.8 Vo~07fNH55
     K09L00S  C2009 07 11.15212 16 05 45.43 +11 57 36.9          19.7 Vo~07fNH55
     K09L00S  C2009 07 11.15856 16 05 44.88 +11 57 43.1          19.3 Vo~07fNH55
     K09L00S  C2009 07 14.13675 16 02 12.18 +12 50 49.3          20.1 Vo~07fNH55
     K09L00S  C2009 07 14.14145 16 02 11.86 +12 50 54.1          20.3 Vo~07fNH55
     K09L00S  C2009 07 14.14641 16 02 11.54 +12 50 59.2          20.5 Vo~07fOH55
     K09L00S  C2009 07 16.13390 16 00 09.11 +13 22 22.5          19.9 Vo~07mKH55
     K09L00S  C2009 07 16.14547 16 00 08.46 +13 22 33.4          19.9 Vo~07mKH55
     K09L00S  C2009 07 16.15705 16 00 07.74 +13 22 43.7          20.2 Vo~07mKH55
     K09L00S  C2009 07 20.13930 15 56 47.90 +14 16 51.9          20.1 Vo~07mKH55
     K09L00S  C2009 07 20.14337 15 56 47.72 +14 16 54.9          20.2 Vo~07mKH55
     K09L00S  C2009 07 20.14857 15 56 47.47 +14 16 58.7          20.2 Vo~07mKH55
     K09L00S  C2009 07 23.13254 15 54 55.38 +14 50 43.7          20.1 Vo~07mKH55
     K09L00S  C2009 07 23.14792 15 54 54.84 +14 50 53.5          20.6 Vo~07mKH55
     K09L00S  C2009 07 23.15389 15 54 54.64 +14 50 57.2          20.8 Vo~07mKH55
     K09L00S  C2009 07 27.14234 15 53 12.16 +15 28 14.8          20.3 Vo~07shH55
     K09L00S  C2009 07 27.14350 15 53 12.14 +15 28 15.3          20.2 Vo~07shH55
     K09L00S  C2009 07 27.15198 15 53 11.97 +15 28 19.5          20.3 Vo~07shH55
     K09L00S  C2009 07 27.16085 15 53 11.78 +15 28 23.8          20.4 Vo~07shH55
     K09L00S  C2009 08 03.10870 15 52 10.20 +16 15 58.5          20.0 Vo~08CWH55
     K09L00S  C2009 08 03.11102 15 52 10.19 +16 15 59.1          20.1 Vo~08CWH55
     K09L00S  C2009 08 03.12339 15 52 10.24 +16 16 04.3          20.0 Vo~08CWH55
     K09L00S  C2009 08 15.10243 15 55 18.41 +17 01 08.2          20.4 Vo~08GvH55
