h5548K08Q03T  C2008 08 31.11158 21 41 34.84 +05 01 38.5          18.6 Voz5256H55
h5548K08Q03T  C2008 09 01.22016 21 39 28.62 +05 02 27.2          18.7 Voz5256H55
h5548K08Q03T  C2008 09 01.22618 21 39 27.90 +05 02 27.5          18.9 Voz5256H55
h5548K08Q03T  C2008 09 01.23269 21 39 27.13 +05 02 27.8          18.5 Voz5256H55
h5548K08Q03T  C2008 09 04.26565 21 33 38.76 +05 02 49.8          19.0 Rcz5256711
h5548K08Q03T  C2008 09 04.26930 21 33 38.29 +05 02 49.8          18.8 Rcz5256711
h5548K08Q03T  C2008 09 04.27294 21 33 37.91 +05 02 50.2          18.8 Rcz5256711
h5548K08Q03T  C2008 09 05.20464 21 31 50.62 +05 02 22.1          19.0 Rrz5937683
h5548K08Q03T  C2008 09 05.21803 21 31 49.06 +05 02 22.6          18.6 Rrz5937683
h5548K08Q03T  C2008 09 05.23142 21 31 47.31 +05 02 23.7          20.3 Rrz5937683
h5548K08Q03T  C2008 09 08.92796 21 24 40.29 +04 58 08.2          19.0 Rrz5937130
h5548K08Q03T  C2008 09 08.93107 21 24 39.93 +04 58 08.0          18.8 Rrz5937130
h5548K08Q03T  C2008 09 09.86788 21 22 52.93 +04 56 29.1                oz5937246
h5548K08Q03T  C2008 09 09.86882 21 22 52.75 +04 56 28.2                oz5937246
h5548K08Q03T  C2008 09 09.87049 21 22 52.60 +04 56 28.4                oz5937246
h5548K08Q03T  C2008 09 09.87146 21 22 52.53 +04 56 27.9                oz5937246
h5548K08Q03T  C2008 09 09.87275 21 22 52.36 +04 56 28.7                oz5937246
h5548K08Q03T  C2008 09 09.87351 21 22 52.22 +04 56 28.0                oz5937246
h5548K08Q03T  C2008 09 17.06007921 09 42.94 +04 36 52.2          19.1 Voz6794H55
h5548K08Q03T  C2008 09 17.06360621 09 42.54 +04 36 51.5          19.3 Voz6794H55
h5548K08Q03T  C2008 09 17.07063421 09 41.82 +04 36 50.2          18.7 Voz6794H55
h5548K08Q03T  C2008 09 18.15589 21 07 49.47 +04 32 55.1          19.0 Voz6794H55
h5548K08Q03T  C2008 09 18.16071 21 07 48.95 +04 32 53.9          19.2 Voz6794H55
h5548K08Q03T  C2008 09 18.16267 21 07 48.74 +04 32 53.4          19.2 Voz6794H55
h5548K08Q03T  C2008 09 19.13427621 06 10.92 +04 29 11.9          19.3 Voz6794H55
h5548K08Q03T  C2008 09 19.13974221 06 10.36 +04 29 10.9          19.4 Voz6794H55
h5548K08Q03T  C2008 09 19.14560221 06 09.73 +04 29 09.3          19.5 Voz6794H55
h5548K08Q03T  C2008 09 19.15156521 06 09.10 +04 29 08.0          19.3 Voz6794H55
h5548K08Q03T  C2008 09 21.26330 21 02 43.62 +04 20 35.9          19.1 Vrz6794703
h5548K08Q03T  C2008 09 21.26973 21 02 42.97 +04 20 33.3          18.9 Vrz6794703
h5548K08Q03T  C2008 09 21.27616 21 02 42.28 +04 20 31.5          18.8 Vrz6794703
h5548K08Q03T  C2008 09 21.28257 21 02 41.67 +04 20 30.4          19.5 Vrz6794703
h5548K08Q03T  C2008 09 23.07451 20 59 57.61 +04 12 41.7          18.7 Voz9331H55
h5548K08Q03T  C2008 09 23.07884 20 59 57.19 +04 12 40.2          19.3 Voz9331H55
h5548K08Q03T  C2008 09 24.06688 20 58 30.23 +04 08 12.8          19.1 Voz6794H55
h5548K08Q03T  C2008 09 26.03637 20 55 45.71 +03 58 59.8          19.8 Voz8040H55
h5548K08Q03T  C2008 09 26.04193 20 55 45.23 +03 58 58.2          19.6 Voz8040H55
h5548K08Q03T  C2008 09 26.04757 20 55 44.75 +03 58 56.6          19.6 Voz8040H55
h5548K08Q03T  C2008 09 27.07552 20 54 23.57 +03 54 00.6          19.7 Vo~004IH55
h5548K08Q03T  C2008 09 27.08160 20 54 23.09 +03 53 58.7          19.3 Vo~004IH55
h5548K08Q03T  C2008 09 27.08798 20 54 22.55 +03 53 56.7          19.7 Vo~004IH55
h5548K08Q03T  C2008 09 27.22476 20 54 11.55 +03 53 19.1          18.8 Vrz8040703
h5548K08Q03T  C2008 09 27.23200 20 54 10.98 +03 53 17.2          18.8 Vrz8040703
h5548K08Q03T  C2008 09 27.23932 20 54 10.36 +03 53 14.9          18.9 Vrz8040703
h5548K08Q03T  C2008 09 27.24659 20 54 09.82 +03 53 12.6          19.1 Vrz8040703
h5548K08Q03T  C2008 09 28.03037 20 53 11.78 +03 49 21.3          19.7 Voz8040H55
h5548K08Q03T  C2008 09 28.03467 20 53 11.42 +03 49 20.1          19.5 Voz8040H55
h5548K08Q03T  C2008 09 28.03880 20 53 11.10 +03 49 18.9          19.6 Voz8040H55
h5548K08Q03T  C2008 09 29.16193 20 51 49.94 +03 43 49.1          19.3  cz8040704
h5548K08Q03T  C2008 09 29.17447 20 51 49.00 +03 43 44.2          20.3  cz8040704
h5548K08Q03T  C2008 09 29.19941 20 51 47.08 +03 43 37.7          19.4  cz8040704
h5548K08Q03T  C2008 09 29.21188 20 51 46.14 +03 43 33.5          19.5  cz8040704
h5548K08Q03T 8C2008 09 29.27532320 51 42.162+03 43 18.88         19.0 Roz9331F65
h5548K08Q03T 8C2008 09 29.27643820 51 42.077+03 43 18.57         19.0 Roz9331F65
h5548K08Q03T 8C2008 09 29.27762020 51 41.986+03 43 18.20         19.0 Roz9331F65
h5548K08Q03T  C2008 10 02.09043720 48 40.66 +03 29 12.2          19.9 Voz8040H55
h5548K08Q03T  C2008 10 02.09600020 48 40.30 +03 29 10.6          19.6 Voz8040H55
h5548K08Q03T  C2008 10 02.10154920 48 39.95 +03 29 08.8          19.5 Voz8040H55
h5548K08Q03T  C2008 10 02.10781620 48 39.52 +03 29 07.0          19.4 Voz8040H55
h5548K08Q03T  C2008 10 02.11554120 48 39.03 +03 29 04.7          19.4 Voz8040H55
h5548K08Q03T  C2008 10 03.10851 20 47 42.12 +03 24 07.1          18.9 Vo~004IH55
h5548K08Q03T  C2008 10 05.08922 20 45 59.77 +03 14 17.4          19.6 Vo~004IH55
