     K07D84S* C2007 02 27.34015 11 33 13.39 +52 16 25.0          18.9 Vru1659703
     K07D84S  C2007 03 13.10370 12 06 02.22 +54 49 08.9          18.2 Rcv1388A24
     K07D84S  C2007 03 14.04765 12 09 10.74 +54 52 26.4          17.7 Rcu3206A24
     K07D84S  C2007 03 14.04864 12 09 10.93 +54 52 26.9          17.6 Rcu3206A24
     K07D84S  C2007 03 14.07362 12 09 15.23 +54 52 29.7          17.8 Rcu3206A24
     K07D84S  C2007 03 14.07461 12 09 15.38 +54 52 29.8          18.0 Rcu3206A24
     K07D84S  C2007 03 14.09957 12 09 19.77 +54 52 30.5          17.7 Rcu3206A24
     K07D84S  C2007 03 14.10056 12 09 19.94 +54 52 30.9          18.0 Rcu3206A24
     K07D84S  C2007 03 14.77533 12 11 47.45 +54 53 29.3          18.2 Vou3206151
     K07D84S  C2007 03 14.77898 12 11 48.15 +54 53 30.8          18.5 Vou3206151
     K07D84S  C2007 03 14.78262 12 11 48.86 +54 53 32.3          18.6 Vou3206151
     K07D84S  C2007 03 15.01618 12 12 33.12 +54 54 23.9          18.1 Rcv1857A24
     K07D84S  C2007 03 15.03140 12 12 35.90 +54 54 23.5          17.5 Rcu3206A24
     K07D84S  C2007 03 15.03240 12 12 36.09 +54 54 23.8          17.5 Rcu3206A24
     K07D84S  C2007 03 15.04080 12 12 37.61 +54 54 23.7          17.7 Rcv1857A24
     K07D84S  C2007 03 15.05020 12 12 39.32 +54 54 24.0          17.8 Rcv1857A24
     K07D84S  C2007 03 15.05861 12 12 40.79 +54 54 24.1          17.2 Rcu3206A24
     K07D84S  C2007 03 15.05960 12 12 40.99 +54 54 24.3          17.6 Rcu3206A24
     K07D84S  C2007 03 15.06758 12 12 42.45 +54 54 24.2          17.5 Rcv1857A24
     K07D84S  C2007 03 15.07655 12 12 44.14 +54 54 23.8          17.8 Rcv1857A24
     K07D84S  C2007 03 15.08454 12 12 45.55 +54 54 23.8          17.5 Rcu3206A24
     K07D84S  C2007 03 15.08554 12 12 45.90 +54 54 23.4          17.4 Rcu3206A24
     K07D84S  C2007 03 15.10498 12 12 49.39 +54 54 23.2          18.0 Rcv1857A24
     K07D84S  C2007 03 16.94329 12 19 47.42 +54 53 21.4                cu4687046
     K07D84S  C2007 03 16.94404 12 19 47.66 +54 53 22.0                cu4687046
     K07D84S  C2007 03 16.94510 12 19 47.79 +54 53 22.0                cu4687046
     K07D84S  C2007 03 16.94581 12 19 48.01 +54 53 21.6                cu4687046
     K07D84S  C2007 03 16.94645 12 19 48.08 +54 53 21.8                cu4687046
     K07D84S  C2007 03 16.94708 12 19 48.28 +54 53 21.8                cu4687046
     K07D84S  C2007 03 17.37114 12 21 24.76 +54 52 24.5          17.6 Rru4687H45
     K07D84S  C2007 03 17.37357 12 21 25.25 +54 52 23.9          17.6 Rru4687H45
     K07D84S  C2007 03 17.37454 12 21 25.43 +54 52 23.7          17.5 Rru4687H45
     K07D84S  C2007 03 17.37548 12 21 25.65 +54 52 23.3          17.7 Rru4687H45
     K07D84S  C2007 03 17.37707 12 21 25.98 +54 52 22.7          17.8 Rru4687H45
     K07D84S  C2007 03 17.37873 12 21 26.31 +54 52 22.0          17.7 Rru4687H45
     K07D84S  C2007 03 17.85809 12 23 31.74 +54 50 21.2          18.0 Rcu4687157
     K07D84S  C2007 03 18.26757 12 25 12.68 +54 48 50.7          18.0 Vru4687703
     K07D84S  C2007 03 18.27523 12 25 14.34 +54 48 48.9          18.1 Vru4687703
     K07D84S  C2007 03 18.28294 12 25 15.99 +54 48 47.6          18.2 Vru4687703
     K07D84S  C2007 03 18.29059 12 25 17.65 +54 48 46.0          18.2 Vru4687703
     K07D84S  C2007 03 22.39216 12 44 37.66 +54 05 46.0          17.7 Rru4687H45
     K07D84S  C2007 03 22.39708 12 44 39.05 +54 05 40.0          18.1 Rru4687H45
     K07D84S  C2007 03 22.39844 12 44 39.44 +54 05 38.2          17.8 Rru4687H45
     K07D84S  C2007 03 22.39939 12 44 39.66 +54 05 37.1          17.9 Rru4687H45
     K07D84S  C2007 03 22.40035 12 44 39.97 +54 05 36.1          17.9 Rru4687H45
     K07D84S  C2007 03 22.40134 12 44 40.25 +54 05 34.7          17.9 Rru4687H45
     K07D84S  C2007 03 25.09719 13 00 05.62 +53 06 13.0          17.5 Rou5581B30
     K07D84S  C2007 03 25.09887 13 00 06.18 +53 06 10.6          17.6 Rou5581B30
     K07D84S  C2007 03 25.10056 13 00 06.69 +53 06 08.1          17.1 Rou5581B30
     K07D84S  C2007 03 25.10252 13 00 07.40 +53 06 04.3          17.6 Rou5581B30
     K07D84S  C2007 03 25.10414 13 00 07.95 +53 06 00.9          17.6 Rou5581B30
     K07D84S  C2007 03 25.10615 13 00 08.60 +53 05 57.4          17.3 Rou5581B30
     K07D84S  C2007 03 25.10778 13 00 09.18 +53 05 54.1          17.6 Rou5581B30
     K07D84S  C2007 03 25.10941 13 00 09.75 +53 05 51.1          17.2 Rou5581B30
     K07D84S  C2007 03 25.11104 13 00 10.36 +53 05 48.6          17.2 Rou5581B30
     K07D84S  C2007 03 25.35783 13 01 43.06 +52 59 23.7          17.3 Rru5581H45
     K07D84S  C2007 03 25.35906 13 01 43.45 +52 59 21.1          17.2 Rru5581H45
     K07D84S  C2007 03 25.36027 13 01 43.87 +52 59 19.3          17.1 Rru5581H45
     K07D84S  C2007 03 25.36216 13 01 44.46 +52 59 15.5          17.1 Rru5581H45
     K07D84S  C2007 03 25.36342 13 01 44.88 +52 59 12.8          17.4 Rru5581H45
     K07D84S  C2007 03 25.36446 13 01 45.23 +52 59 11.0          17.4 Rru5581H45
     K07D84S  C2007 03 26.80657 13 11 16.88 +52 11 05.2          18.1 Vou5581151
     K07D84S  C2007 03 26.80991 13 11 18.20 +52 10 58.7          18.2 Vou5581151
     K07D84S  C2007 03 26.81324 13 11 19.51 +52 10 52.3          18.3 Vou5581151
     K07D84S 1C2007 03 26.92541 13 11 59.17 +52 06 57.5                oz2459084
     K07D84S 1C2007 03 26.92760 13 11 59.96 +52 06 52.9                oz2459084
     K07D84S  C2007 03 27.77699 13 17 46.95 +51 33 16.9          17.9 Vmu5962300
     K07D84S  C2007 03 27.77841 13 17 47.53 +51 33 13.2          17.8 Vmu5962300
     K07D84S  C2007 03 27.77955 13 17 47.96 +51 33 09.9          18.0 Vmu5962300
     K07D84S  C2007 03 27.78071 13 17 48.43 +51 33 06.6          17.8 Vmu5962300
     K07D84S  C2007 03 27.78186 13 17 48.87 +51 33 03.1          18.0 Vmu5962300
     K07D84S  C2007 03 28.09233 13 20 03.98 +51 18 58.2          15.9 Rcu5581B30
     K07D84S  C2007 03 28.09351 13 20 04.45 +51 18 56.7          17.2 Rcu5581B30
     K07D84S  C2007 03 28.09469 13 20 05.01 +51 18 53.1          17.3 Rcu5581B30
     K07D84S  C2007 03 28.09589 13 20 05.40 +51 18 50.1          17.0 Rcu5581B30
     K07D84S  C2007 03 28.09706 13 20 05.86 +51 18 45.0          16.8 Rcu5581B30
     K07D84S  C2007 03 28.09823 13 20 06.45 +51 18 43.1          17.5 Rcu5581B30
     K07D84S  C2007 03 28.09940 13 20 06.78 +51 18 38.2          17.3 Rcu5581B30
     K07D84S  C2007 03 28.10060 13 20 07.33 +51 18 36.1          17.2 Rcu5581B30
     K07D84S  C2007 03 28.10177 13 20 07.85 +51 18 32.1          16.6 Rcu5581B30
     K07D84S  C2007 03 28.10296 13 20 08.12 +51 18 29.0          17.0 Rcu5581B30
     K07D84S  C2007 03 28.10413 13 20 08.62 +51 18 27.5          17.0 Rcu5581B30
     K07D84S  C2007 03 28.10530 13 20 09.06 +51 18 22.4          17.2 Rcu5581B30
     K07D84S  C2007 03 28.10647 13 20 09.65 +51 18 18.0          17.4 Rcu5581B30
     K07D84S  C2007 03 28.10766 13 20 10.11 +51 18 15.2          16.8 Rcu5581B30
     K07D84S  C2007 03 28.10885 13 20 10.62 +51 18 12.7          16.8 Rcu5581B30
     K07D84S  C2007 03 28.11007 13 20 11.17 +51 18 09.5          17.4 Rcu5581B30
     K07D84S  C2007 03 28.11124 13 20 11.71 +51 18 00.5          17.1 Rcu5581B30
     K07D84S  C2007 03 28.11241 13 20 11.98 +51 17 58.9          17.1 Rcu5581B30
     K07D84S  C2007 03 28.11359 13 20 11.76 +51 17 57.2          17.4 Rcu5581B30
     K07D84S  C2007 03 28.11479 13 20 12.84 +51 17 54.9          17.4 Rcu5581B30
     K07D84S  C2007 03 28.63407 13 24 07.48 +50 54 13.0          16.7 Vmu5962300
     K07D84S  C2007 03 28.63476 13 24 07.76 +50 54 10.7          17.1 Vmu5962300
     K07D84S  C2007 03 28.63544 13 24 08.06 +50 54 09.1          16.5 Vmu5962300
     K07D84S  C2007 03 28.63612 13 24 08.29 +50 54 06.7          17.0 Vmu5962300
     K07D84S  C2007 03 28.63886 13 24 09.34 +50 53 59.1          16.8 Vmu5962300
     K07D84S  C2007 03 28.64158 13 24 10.42 +50 53 51.8          17.0 Vmu5962300
     K07D84S  C2007 03 28.64226 13 24 10.75 +50 53 49.9          16.9 Vmu5962300
     K07D84S  C2007 03 28.64294 13 24 10.98 +50 53 47.4          17.0 Vmu5962300
     K07D84S  C2007 03 29.06446 13 27 17.44 +50 31 47.1          17.0 Rcu5581B30
     K07D84S  C2007 03 29.06703 13 27 18.50 +50 31 38.9          17.8 Rcu5581B30
     K07D84S  C2007 03 29.07216 13 27 20.72 +50 31 21.7          17.3 Rcu5581B30
     K07D84S  C2007 03 29.07473 13 27 21.86 +50 31 13.0          17.1 Rcu5581B30
     K07D84S  C2007 03 29.07729 13 27 22.68 +50 31 03.9          17.2 Rcu5581B30
     K07D84S  C2007 03 29.30681 13 29 13.22 +50 19 29.9          16.9 Vdu5581G72
     K07D84S  C2007 03 29.31043 13 29 14.74 +50 19 19.0          16.7 Vdu5581G72
     K07D84S  C2007 03 29.31314 13 29 15.85 +50 19 10.4          16.9 Vdu5581G72
     K07D84S  C2007 03 29.31404 13 29 16.19 +50 19 06.9          16.6 Vdu5581G72
     K07D84S  C2007 03 29.31676 13 29 17.28 +50 18 59.5          17.1 Vdu5581G72
     K07D84S  C2007 03 29.32038 13 29 18.78 +50 18 47.6          16.8 Vdu5581G72
     K07D84S 1C2007 03 29.93775 13 34 04.84 +49 42 53.6                oz2459084
     K07D84S 1C2007 03 29.93924 13 34 05.51 +49 42 48.3                oz2459084
