g3709K06B06Q* C2006 01 22.43948 09 13 10.34 +16 16 28.9          20.1 Vrq0604G96
g3709K06B06Q  C2006 08 01.31925 01 50 13.69 +31 32 24.5          15.2 Rrr5448850
g3709K06B06Q  C2006 08 01.32255 01 50 06.25 +31 32 50.5          15.2 Rrr5448850
g3709K06B06Q  C2006 08 01.32587 01 49 58.77 +31 33 16.8          15.3 Rrr5448850
g3709K06B06Q  C2006 08 01.32922 01 49 51.23 +31 33 43.1          15.3 Rrr5448850
g3709K06B06Q  C2006 08 01.33259 01 49 43.60 +31 34 09.9          15.4 Rrr5448850
g3709K06B06Q  C2006 08 01.33598 01 49 35.98 +31 34 36.1          15.5 Rrr5448850
g3709K06B06Q  C2006 08 01.33939 01 49 28.27 +31 35 02.7          15.8 Rrr5448850
g3709K06B06Q  C2006 08 01.34277 01 49 20.75 +31 35 29.9          16.2 Rrr5448850
g3709K06B06Q  C2006 08 01.34621 01 49 12.85 +31 35 56.4          16.3 Rrr5448850
g3709K06B06Q  C2006 08 01.34962 01 49 05.17 +31 36 22.6          16.8 Rrr5448850
g3709K06B06Q  C2006 08 01.35296 01 48 57.65 +31 36 48.7          16.7 Rrr5448850
g3709K06B06Q  C2006 08 01.35629 01 48 50.12 +31 37 14.4          16.8 Rrr5448850
g3709K06B06Q  C2006 08 01.35966 01 48 42.52 +31 37 40.3          16.7 Rrr5448850
g3709K06B06Q  C2006 08 01.36306 01 48 34.82 +31 38 06.8          16.8 Rrr5448850
g3709K06B06Q  C2006 08 01.97231 01 27 08.84 +32 40 59.6          15.8 Vor5448J68
g3709K06B06Q  C2006 08 01.97431 01 27 04.85 +32 41 10.9          16.5 Vor5449J68
g3709K06B06Q  C2006 08 01.97937 01 26 54.43 +32 41 40.5          15.9 Vor5449J68
g3709K06B06Q  C2006 08 01.99100 01 26 30.60 +32 42 48.3          16.0 Vor5449J68
g3709K06B06Q  C2006 08 02.00122 01 26 09.69 +32 43 47.1          16.4 Vor5449J68
g3709K06B06Q  C2006 08 03.31603 00 45 22.69 +34 05 24.5          15.8 Rrr5449850
g3709K06B06Q  C2006 08 03.31960 00 45 16.46 +34 05 33.5          15.5 Rrr5449850
g3709K06B06Q  C2006 08 03.32319 00 45 10.19 +34 05 42.0          15.4 Rrr5449850
g3709K06B06Q  C2006 08 03.32683 00 45 03.82 +34 05 51.1          15.2 Rrr5449850
g3709K06B06Q  C2006 08 03.33051 00 44 57.40 +34 06 00.2          15.0 Rrr5449850
g3709K06B06Q  C2006 08 03.33421 00 44 50.93 +34 06 09.1          14.9 Rrr5449850
