     K08E07Z* C2008 03 07.48916 06 27 32.79 -22 36 44.9          18.4 Vry2318E12
     K08E07Z 2C2008 03 08.93743010 17 31.16 -15 32 22.5          14.5  cy2318095
     K08E07Z 2C2008 03 08.93765010 17 41.38 -15 31 33.9          14.4  cy2318095
     K08E07Z 2C2008 03 08.93809210 18 01.85 -15 29 56.0          14.3  cy2318095
     K08E07Z 2C2008 03 08.93874610 18 32.31 -15 27 29.6          14.4  cy2318095
     K08E07Z 2C2008 03 08.93908210 18 47.96 -15 26 14.2          14.3  cy2318095
     K08E07Z 2C2008 03 08.94490710 23 22.10 -15 04 02.5          14.2  cy2318095
     K08E07Z 2C2008 03 08.94512310 23 32.32 -15 03 12.6          14.2  cy2318095
     K08E07Z 2C2008 03 08.94533910 23 42.62 -15 02 21.8          13.9  cy2318095
     K08E07Z 2C2008 03 08.94555610 23 52.83 -15 01 31.7          14.4  cy2318095
     K08E07Z 2C2008 03 08.94577110 24 03.10 -15 00 41.5          14.3  cy2318095
     K08E07Z 2C2008 03 08.94598710 24 13.45 -14 59 50.5          14.1  cy2318095
     K08E07Z 2C2008 03 08.94620310 24 23.71 -14 58 59.8          14.3  cy2318095
     K08E07Z 2C2008 03 08.94641910 24 34.02 -14 58 08.9          14.3  cy2318095
     K08E07Z 2C2008 03 08.94663510 24 44.28 -14 57 18.4          14.2  cy2318095
     K08E07Z 2C2008 03 08.94685110 24 54.63 -14 56 27.6          14.2  cy2318095
     K08E07Z 2C2008 03 08.94706710 25 04.97 -14 55 36.6          14.3  cy2318095
     K08E07Z 2C2008 03 08.94728310 25 15.29 -14 54 45.6          14.2  cy2318095
     K08E07Z 2C2008 03 08.94749910 25 25.56 -14 53 54.8          14.1  cy2318095
     K08E07Z 2C2008 03 08.94771610 25 35.93 -14 53 03.3          14.3  cy2318095
     K08E07Z 2C2008 03 08.94793110 25 46.31 -14 52 12.4          14.2  cy2318095
     K08E07Z 2C2008 03 08.94814710 25 56.65 -14 51 20.9          14.1  cy2318095
     K08E07Z 2C2008 03 08.94836710 26 07.18 -14 50 28.5          14.3  cy2318095
