     K03D10W  C2003 03 03.13716 03 10 14.07 +22 25 48.6                ch4391670
     K03D10W  C2003 03 03.13822 03 09 55.90 +22 23 54.8                ch4391670
     K03D10W  C2003 03 03.13872 03 09 47.29 +22 23 00.0                ch4391670
     K03D10W  C2003 03 03.14009 03 09 23.47 +22 20 27.7                ch4391670
     K03D10W  C2003 03 03.14256 03 08 40.98 +22 15 56.9                ch4391670
     K03D10W  C2003 03 03.14484 03 08 01.73 +22 11 44.8                ch4391670
     K03D10W  C2003 03 03.15268 03 05 47.16 +21 57 14.1                ch4391670
     K03D10W  C2003 03 03.15351 03 05 33.06 +21 55 40.0                ch4391670
     K03D10W  C2003 03 03.16028 03 03 37.15 +21 42 57.5                ch4391670
     K03D10W  C2003 03 03.16079 03 03 28.35 +21 42 01.6                ch4391670
     K03D10W  C2003 03 03.16458 03 02 23.84 +21 34 53.7                ch4391670
     K03D10W  C2003 03 03.17425 02 59 39.36 +21 16 26.4                ch4391670
     K03D10W  C2003 03 03.17664 02 58 59.04 +21 11 52.4                ch4391670
     K03D10W  C2003 03 03.17806 02 58 34.94 +21 09 09.0                ch4391670
     K03D10W  C2003 03 03.18183 02 57 31.22 +21 01 52.4                ch4391670
     K03D10W 1C2003 08 06.28780 21 23 05.609-18 54 58.17         25.1 Roi3095309
     K03D10W 1C2003 08 06.29108 21 23 05.103-18 54 59.76               oi3095309
     K03D10W 1C2003 08 06.29435 21 23 04.642-18 55 00.60               oi3095309
     K03D10W 1C2003 08 06.29764 21 23 04.183-18 55 01.33               oi3095309
     K03D10W 1C2003 08 06.30093 21 23 03.799-18 55 02.21               oi3095309
     K03D10W 1C2003 08 06.30755 21 23 02.867-18 55 03.60               oi3095309
