     K08S07T* C2008 09 24.29993 01 18 27.50 +16 17 18.6          20.2 Vrz6852G96
     K08S07T  C2008 10 09.17075 01 06 40.16 +15 05 17.4          21.7 Voz9356H55
     K08S07T  C2008 10 09.17858 01 06 39.82 +15 05 16.3          21.6 Voz9356H55
     K08S07T  C2008 10 09.18679 01 06 39.45 +15 05 15.1          21.6 Voz9356H55
     K08S07T  C2008 10 09.38648 01 06 31.49 +15 04 19.5          21.7 Voz9356291
     K08S07T  C2008 10 09.39254 01 06 31.22 +15 04 17.6          21.5 Voz9356291
     K08S07T  C2008 10 09.39801 01 06 30.99 +15 04 15.5          21.6 Voz9356291
     K08S07T  C2008 10 12.19758 01 05 19.03 +14 50 31.0          21.7 Vo~004ZH55
     K08S07T  C2008 10 12.21517 01 05 18.35 +14 50 26.3                o~004ZH55
     K08S07T  C2008 10 20.14727 01 03 07.52 +14 14 43.5          22.7 Vo~00B5H55
     K08S07T  C2008 10 20.17800 01 03 06.93 +14 14 36.4          22.7 Vo~00B5H55
     K08S07T  C2008 10 20.19412 01 03 06.61 +14 14 32.8          22.5 Vo~00B5H55
     K08S07T 2C2008 10 22.42945101 02 49.180+14 05 46.03         22.1 Ro~00Qw568
     K08S07T 2C2008 10 22.43446301 02 49.091+14 05 44.90         22.0 Ro~00Qw568
     K08S07T 2C2008 10 22.43948801 02 49.008+14 05 43.63         22.2 Ro~00Qw568
     K08S07T  C2008 10 26.40438 01 02 40.27 +13 51 17.4          22.3 Rv~00QwH01
     K08S07T  C2008 10 26.42862 01 02 40.20 +13 51 11.9          22.0 Rv~00QwH01
     K08S07T  C2008 10 28.23540 01 02 47.40 +13 45 31.0          22.3 Rv~00QwH01
     K08S07T  C2008 10 28.27791 01 02 47.22 +13 45 23.1          22.3 Rv~00QwH01
     K08S07T  C2008 10 28.29160 01 02 47.16 +13 45 20.6          22.1 Rv~00QwH01
     K08S07T  C2008 10 29.11520 01 02 52.77 +13 42 51.2          23.6 Vo~00QwH55
     K08S07T  C2008 10 29.15302 01 02 52.74 +13 42 46.8          23.2 Vo~00QwH55
     K08S07T  C2008 10 30.34910 01 03 00.64 +13 39 27.0          21.8 Rv~00QwH01
     K08S07T  C2008 10 30.35974 01 03 00.66 +13 39 25.0          22.6 Rv~00QwH01
     K08S07T  C2008 11 01.14445 01 03 20.11 +13 34 52.3          23.4 Vo~00rpH55
