     K08X01C* C2008 12 03.36799 04 24 02.55 +02 59 29.5          18.6 Vr~021H703
     K08X01C  C2008 12 08.89310 05 05 49.01 -02 59 16.6                r~02N3203
     K08X01C  C2008 12 08.89704 05 05 52.88 -02 59 52.7          16.5 Rc~02IoB39
     K08X01C  C2008 12 08.92011 05 06 14.72 -03 03 11.6          17.2 Vc~02IoA48
     K08X01C  C2008 12 08.92327 05 06 18.26 -03 03 41.7          17.0 Rr~02IoB39
     K08X01C  C2008 12 08.92334 05 06 17.85 -03 03 39.7          17.2 Vc~02IoA48
     K08X01C  C2008 12 08.92658 05 06 21.00 -03 04 08.5          17.3 Vc~02IoA48
     K08X01C  C2008 12 08.92982 05 06 24.16 -03 04 36.8          17.3 Vc~02IoA48
     K08X01C  C2008 12 08.93991 05 06 34.00 -03 06 06.2          17.2 Vc~02Io560
     K08X01C  C2008 12 08.94077 05 06 34.84 -03 06 13.8          17.2 Vc~02Io560
     K08X01C  C2008 12 08.94162 05 06 35.68 -03 06 21.5          17.2 Vc~02Io560
     K08X01C  C2008 12 08.94574 05 06 40.17 -03 06 58.2                r~02N3203
     K08X01C  C2008 12 08.97839 05 07 12.45 -03 11 53.9          16.9 Rr~02IoB67
     K08X01C  C2008 12 08.98521 05 07 19.23 -03 12 55.1          17.0 Rr~02IoB67
     K08X01C  C2008 12 08.98929 05 07 23.33 -03 13 32.2          17.2 Rr~02IoB67
     K08X01C  C2008 12 08.99337 05 07 27.44 -03 14 08.8          17.0 Rr~02IoB67
     K08X01C  C2008 12 09.53743 05 18 53.699-04 40 15.71         16.7 Rr~02N3E12
     K08X01C  C2008 12 09.53943 05 18 56.326-04 40 39.03         16.7 Rr~02N3E12
     K08X01C  C2008 12 09.58508 05 19 56.776-04 49 34.61         16.7 Rr~02N3E12
     K08X01C  C2008 12 09.58690 05 19 59.223-04 49 56.20         16.7 Rr~02N3E12
     K08X01C  C2008 12 09.63006405 20 57.76 -04 58 32.6          16.3 Rv~02N3E10
     K08X01C  C2008 12 09.63944405 21 10.66 -05 00 25.8          16.4 Rv~02N3E10
     K08X01C  C2008 12 09.64869905 21 23.52 -05 02 18.3          16.4 Rv~02N3E10
     K08X01C  C2008 12 09.65233905 21 28.59 -05 03 02.5          16.4 Rv~02N3E10
     K08X01C  C2008 12 09.65573405 21 33.35 -05 03 44.0          16.4 Rv~02N3E10
     K08X01C  C2008 12 09.66269505 21 43.12 -05 05 09.1          16.3 Rv~02N3E10
     K08X01C  C2008 12 09.67107805 21 54.96 -05 06 51.6          16.4 Rv~02N3E10
     K08X01C  C2008 12 09.67527105 22 00.90 -05 07 43.3          16.4 Rv~02N3E10
     K08X01C  C2008 12 09.68184905 22 10.28 -05 09 04.3          16.4 Rv~02N3E10
     K08X01C  C2008 12 09.97612 05 30 37.14 -06 23 06.7                r~02N3J95
     K08X01C  C2008 12 09.97826 05 30 40.82 -06 23 37.8                r~02N3J95
     K08X01C  C2008 12 09.98036 05 30 44.44 -06 24 08.8          16.2 Rr~02N3J95
     K08X01C  C2008 12 10.58986 05 53 05.894-09 11 00.68         16.3 Rr~02N3E12
     K08X01C  C2008 12 10.59134 05 53 09.618-09 11 30.89         16.2 Rr~02N3E12
     K08X01C  C2008 12 10.59287 05 53 13.413-09 12 02.35         16.2 Rr~02N3E12
     K08X01C  C2008 12 10.59440 05 53 17.230-09 12 33.40         16.3 Rr~02N3E12
     K08X01C  C2008 12 11.24831 06 30 08.17 -13 52 12.7          16.9 Vo~02N3H55
     K08X01C  C2008 12 11.24968 06 30 13.85 -13 52 54.4          16.9 Vo~02N3H55
     K08X01C  C2008 12 11.25105 06 30 19.32 -13 53 34.3          16.9 Vo~02N3H55
     K08X01C  C2008 12 11.25244 06 30 24.98 -13 54 16.0          16.8 Vo~02N3H55
     K08X01C  C2008 12 11.25381 06 30 30.59 -13 54 56.9          16.9 Vo~02N3H55
     K08X01C  C2008 12 11.25654 06 30 41.74 -13 56 18.6          16.5 Vo~02N3H55
     K08X01C  C2008 12 11.25814 06 30 48.30 -13 57 06.7          16.4 Vo~02N3H55
     K08X01C  C2008 12 11.32910 06 35 50.29 -14 32 58.1          15.7 Rr~02N3H36
     K08X01C  C2008 12 11.32969 06 35 52.84 -14 33 15.8          15.7 Rr~02N3H36
     K08X01C  C2008 12 11.33055 06 35 56.50 -14 33 42.6          15.8 Rr~02N3H36
     K08X01C  C2008 12 11.33171 06 36 01.46 -14 34 17.6          15.8 Rr~02N3H36
     K08X01C  C2008 12 11.33320 06 36 07.97 -14 35 04.3          15.7 Rr~02N3H36
